iter	Passed	Remaining
0	12	12496
1	25	12831
2	39	13017
3	52	13029
4	65	12980
5	85	14158
6	97	13848
7	111	13806
8	125	13802
9	139	13784
10	153	13758
11	165	13623
12	176	13422
13	187	13237
14	199	13107
15	211	12982
16	222	12893
17	234	12778
18	245	12682
19	257	12594
20	268	12534
21	280	12480
22	292	12421
23	303	12357
24	315	12294
25	326	12227
26	336	12133
27	347	12054
28	357	11957
29	367	11878
30	377	11807
31	388	11737
32	411	12067
33	423	12030
34	433	11957
35	443	11889
36	454	11823
37	471	11936
38	481	11861
39	491	11798
40	501	11734
41	511	11668
42	521	11607
43	531	11555
44	541	11498
45	551	11446
46	562	11398
47	572	11357
48	582	11309
49	592	11260
50	602	11216
51	612	11172
52	622	11124
53	632	11080
54	642	11043
55	652	11004
56	662	10963
57	673	10933
58	683	10900
59	693	10867
60	703	10828
61	713	10800
62	723	10767
63	733	10731
64	744	10703
65	754	10674
66	764	10648
67	774	10621
68	784	10591
69	795	10568
70	805	10538
71	814	10501
72	824	10471
73	834	10447
74	844	10418
75	855	10395
76	864	10368
77	875	10346
78	885	10327
79	895	10303
80	906	10283
81	916	10262
82	926	10237
83	936	10214
84	947	10196
85	957	10175
86	967	10154
87	978	10136
88	988	10119
89	998	10098
90	1008	10073
91	1018	10056
92	1029	10036
93	1039	10017
94	1049	9997
95	1059	9976
96	1069	9959
97	1080	9941
98	1090	9924
99	1100	9908
100	1111	9893
101	1121	9876
102	1131	9857
103	1142	9841
104	1151	9818
105	1162	9800
106	1172	9783
107	1182	9764
108	1191	9743
109	1202	9728
110	1212	9709
111	1222	9689
112	1232	9673
113	1242	9657
114	1252	9640
115	1262	9623
116	1273	9609
117	1283	9592
118	1293	9576
119	1303	9559
120	1313	9542
121	1323	9525
122	1334	9511
123	1344	9499
124	1355	9485
125	1365	9469
126	1375	9453
127	1385	9438
128	1395	9423
129	1405	9406
130	1415	9392
131	1425	9374
132	1435	9358
133	1445	9342
134	1455	9325
135	1465	9308
136	1475	9295
137	1485	9281
138	1495	9261
139	1505	9245
140	1515	9230
141	1525	9217
142	1535	9200
143	1545	9185
144	1555	9170
145	1565	9157
146	1575	9141
147	1585	9127
148	1603	9159
149	1631	9244
150	1643	9242
151	1655	9237
152	1668	9236
153	1680	9233
154	1692	9229
155	1705	9224
156	1716	9216
157	1728	9209
158	1740	9203
159	1751	9197
160	1764	9193
161	1776	9187
162	1788	9182
163	1800	9179
164	1813	9175
165	1825	9170
166	1837	9165
167	1848	9156
168	1861	9154
169	1874	9150
170	1886	9146
171	1898	9140
172	1911	9136
173	1923	9131
174	1936	9127
175	1948	9122
176	1961	9118
177	1972	9110
178	1984	9103
179	1997	9098
180	2009	9092
181	2022	9088
182	2033	9080
183	2046	9074
184	2058	9069
185	2071	9063
186	2083	9057
187	2094	9044
188	2104	9029
189	2115	9016
190	2125	9001
191	2135	8984
192	2145	8971
193	2155	8957
194	2166	8941
195	2176	8927
196	2186	8910
197	2196	8897
198	2206	8883
199	2217	8868
200	2226	8852
201	2237	8837
202	2247	8823
203	2257	8809
204	2268	8795
205	2278	8781
206	2288	8768
207	2311	8799
208	2320	8784
209	2330	8767
210	2340	8753
211	2351	8738
212	2360	8723
213	2370	8707
214	2380	8692
215	2391	8678
216	2401	8664
217	2411	8650
218	2421	8636
219	2431	8620
220	2441	8606
221	2451	8592
222	2461	8578
223	2471	8562
224	2481	8547
225	2491	8533
226	2501	8519
227	2511	8504
228	2521	8489
229	2531	8475
230	2540	8457
231	2550	8443
232	2560	8429
233	2570	8415
234	2581	8402
235	2591	8388
236	2601	8375
237	2611	8362
238	2622	8350
239	2632	8336
240	2643	8323
241	2653	8310
242	2663	8296
243	2672	8281
244	2682	8267
245	2693	8254
246	2703	8240
247	2712	8226
248	2722	8211
249	2733	8199
250	2742	8185
251	2752	8171
252	2762	8157
253	2772	8143
254	2782	8129
255	2792	8115
256	2802	8103
257	2812	8089
258	2822	8076
259	2833	8063
260	2843	8050
261	2853	8038
262	2864	8026
263	2874	8012
264	2884	8000
265	2894	7987
266	2904	7973
267	2914	7960
268	2924	7947
269	2934	7933
270	2944	7921
271	2954	7908
272	2965	7896
273	2975	7882
274	2985	7870
275	2995	7856
276	3005	7844
277	3016	7832
278	3025	7819
279	3036	7807
280	3046	7794
281	3055	7780
282	3066	7768
283	3076	7755
284	3086	7742
285	3095	7728
286	3105	7715
287	3116	7703
288	3126	7690
289	3135	7677
290	3146	7665
291	3156	7652
292	3166	7639
293	3176	7627
294	3186	7616
295	3196	7603
296	3206	7590
297	3216	7578
298	3227	7567
299	3237	7554
300	3247	7542
301	3257	7529
302	3268	7517
303	3278	7505
304	3288	7493
305	3298	7480
306	3308	7468
307	3318	7456
308	3328	7443
309	3339	7431
310	3348	7418
311	3358	7406
312	3368	7394
313	3379	7382
314	3389	7371
315	3399	7358
316	3410	7347
317	3420	7335
318	3430	7323
319	3440	7310
320	3450	7298
321	3460	7286
322	3469	7273
323	3480	7261
324	3500	7271
325	3513	7263
326	3525	7256
327	3538	7249
328	3550	7241
329	3562	7232
330	3572	7221
331	3582	7207
332	3592	7196
333	3602	7184
334	3613	7172
335	3623	7160
336	3633	7147
337	3643	7135
338	3653	7122
339	3663	7110
340	3673	7099
341	3683	7087
342	3693	7075
343	3704	7064
344	3714	7052
345	3724	7040
346	3735	7029
347	3745	7016
348	3755	7005
349	3765	6992
350	3774	6979
351	3785	6967
352	3795	6955
353	3805	6943
354	3815	6932
355	3825	6920
356	3835	6908
357	3845	6896
358	3855	6884
359	3866	6873
360	3876	6861
361	3886	6850
362	3907	6857
363	3920	6849
364	3932	6842
365	3945	6834
366	3957	6825
367	3969	6816
368	3981	6808
369	3994	6800
370	4005	6791
371	4017	6782
372	4030	6775
373	4042	6766
374	4054	6757
375	4066	6748
376	4077	6738
377	4087	6725
378	4097	6713
379	4107	6702
380	4117	6689
381	4127	6676
382	4137	6665
383	4147	6653
384	4157	6641
385	4167	6629
386	4177	6617
387	4188	6606
388	4198	6594
389	4218	6598
390	4228	6585
391	4238	6573
392	4247	6560
393	4258	6549
394	4268	6537
395	4278	6525
396	4288	6514
397	4298	6502
398	4308	6490
399	4319	6478
400	4329	6466
401	4339	6454
402	4348	6442
403	4358	6430
404	4368	6418
405	4379	6407
406	4388	6394
407	4398	6382
408	4409	6370
409	4419	6359
410	4428	6347
411	4439	6335
412	4449	6323
413	4459	6312
414	4469	6300
415	4479	6288
416	4489	6276
417	4499	6265
418	4509	6253
419	4520	6241
420	4530	6230
421	4540	6218
422	4550	6207
423	4561	6196
424	4571	6185
425	4581	6173
426	4591	6161
427	4601	6150
428	4611	6138
429	4621	6126
430	4632	6115
431	4641	6102
432	4651	6091
433	4661	6079
434	4672	6069
435	4683	6057
436	4693	6046
437	4703	6035
438	4713	6023
439	4723	6012
440	4733	6000
441	4743	5988
442	4754	5977
443	4764	5966
444	4774	5954
445	4784	5943
446	4794	5931
447	4805	5920
448	4815	5909
449	4825	5898
450	4835	5886
451	4846	5875
452	4856	5864
453	4866	5852
454	4876	5840
455	4886	5829
456	4896	5818
457	4907	5806
458	4917	5795
459	4927	5784
460	4937	5772
461	4947	5761
462	4957	5749
463	4967	5738
464	4977	5726
465	4987	5715
466	4997	5703
467	5007	5692
468	5017	5681
469	5027	5669
470	5038	5658
471	5048	5647
472	5058	5636
473	5068	5624
474	5078	5613
475	5088	5601
476	5098	5590
477	5109	5579
478	5119	5568
479	5129	5556
480	5139	5545
481	5149	5534
482	5159	5523
483	5170	5512
484	5180	5500
485	5190	5489
486	5200	5478
487	5210	5466
488	5220	5455
489	5230	5444
490	5241	5433
491	5251	5422
492	5261	5411
493	5271	5399
494	5281	5388
495	5292	5377
496	5302	5366
497	5312	5355
498	5323	5344
499	5333	5333
500	5342	5321
