0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,filename
0,19,17,23,23,30,19,26,20,20,17,21,26,9,26,9,25,5,5,13,26,26,27,26,27,23,26,24,24,25,6,9,9,11,9,9,9,9,9,9,29,9,29,8,9,9,9,9,9,9,9,9,9,9,9,8,2.txt
0,19,16,19,19,25,27,22,14,14,14,15,26,10,16,26,22,29,24,28,24,24,20,21,23,18,19,18,19,21,26,28,28,4,29,29,29,29,29,28,24,1,24,9,28,30,29,29,30,28,28,30,27,29,29,9,5.txt
0,19,17,23,23,30,19,26,20,20,17,21,26,6,11,30,25,29,11,28,26,26,27,26,27,8,26,24,24,25,10,9,9,5,9,9,9,9,9,9,29,9,29,28,9,9,9,9,9,9,9,9,9,9,9,27,9.txt
0,23,28,19,19,25,27,22,24,23,14,24,23,10,26,25,22,7,22,13,24,24,20,21,23,18,19,18,19,21,26,28,28,25,29,29,29,29,29,28,24,29,24,10,28,30,29,29,30,28,28,30,27,29,29,29,12.txt
0,19,16,19,19,28,18,25,24,23,17,24,9,6,5,30,9,7,8,13,6,6,6,6,6,6,6,6,6,6,8,8,8,10,8,8,8,8,8,8,7,8,7,28,8,8,8,8,8,8,30,27,27,27,26,27,14.txt
0,19,16,19,19,28,18,25,20,20,17,21,26,10,26,25,9,7,8,13,24,24,25,25,25,18,19,18,19,21,26,28,28,28,29,29,29,29,29,28,24,20,24,10,28,30,29,29,30,28,30,27,27,27,26,29,16.txt
0,19,16,19,19,25,27,22,24,23,14,19,22,10,29,27,22,7,8,28,24,24,25,25,25,18,19,18,19,21,26,28,28,25,29,29,29,29,29,28,24,29,24,10,28,30,29,29,30,28,28,30,27,29,29,9,17.txt
0,19,16,19,19,28,18,25,20,20,17,21,26,10,5,25,9,7,8,13,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,28,30,27,29,29,27,21.txt
0,19,16,19,19,25,27,22,20,20,28,26,26,10,26,25,22,7,8,13,24,24,20,21,23,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,28,30,27,29,29,27,23.txt
0,19,16,19,19,25,27,27,29,29,14,26,26,10,5,25,22,7,8,13,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,10,28,30,29,29,30,28,28,30,27,29,29,9,24.txt
0,11,16,3,2,7,9,2,2,2,4,27,1,1,5,1,1,1,1,1,16,16,16,16,2,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,26,29,26,27,29,1,30,30,1,29,1,1,1,1,1,1,26.txt
0,23,28,19,19,25,27,22,14,14,14,15,26,29,26,30,22,29,11,28,24,24,20,21,23,18,19,18,19,21,26,28,28,25,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,28,30,27,29,29,27,28.txt
0,0,16,10,9,28,18,25,20,20,17,21,26,12,5,10,9,7,8,13,6,6,6,6,6,6,6,6,6,6,8,8,8,10,8,8,8,8,8,8,7,8,7,6,8,5,8,8,8,8,30,27,27,27,26,21,30.txt
29,27,21,28,28,11,13,7,6,4,3,3,3,3,14,8,7,3,26,22,4,4,4,4,30,2,2,2,2,27,4,4,4,4,7,15,7,15,7,4,26,16,26,27,11,6,7,7,3,4,7,7,3,7,4,4,32.txt
0,19,16,19,19,28,18,25,20,20,17,21,26,10,26,25,9,7,8,13,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,10,28,30,29,29,30,28,30,27,27,27,26,8,34.txt
0,19,17,23,23,30,19,26,14,14,14,15,26,9,26,9,25,5,5,28,26,26,27,26,27,23,26,24,24,25,6,9,9,5,9,9,9,9,9,9,29,9,29,10,9,9,9,9,9,9,9,9,9,9,9,9,36.txt
0,19,16,19,19,28,18,25,20,20,17,21,26,10,5,25,9,7,8,13,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,30,27,27,27,26,27,40.txt
0,0,16,10,9,28,18,25,20,20,17,21,26,10,9,25,9,7,8,13,12,12,13,13,14,13,14,13,13,10,11,17,17,24,17,17,17,17,17,18,16,27,18,9,23,22,22,28,24,23,30,27,27,27,26,9,41.txt
0,19,16,19,19,28,18,30,20,20,17,7,26,6,28,7,8,7,8,13,24,24,25,25,25,18,19,18,19,14,18,28,28,17,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,30,27,27,27,26,27,49.txt
0,19,16,19,19,28,18,25,20,20,17,21,26,10,26,25,9,7,8,13,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,30,27,27,27,26,27,53.txt
0,19,16,19,19,28,18,25,20,20,17,21,26,6,5,30,9,7,8,13,6,6,6,6,6,6,6,6,6,6,8,8,8,10,8,8,8,8,8,8,7,8,7,28,8,8,8,8,8,8,30,27,27,27,26,27,55.txt
0,19,16,19,19,28,18,25,20,20,17,21,26,10,26,10,9,7,8,13,6,6,6,6,6,6,6,6,6,6,8,8,8,10,8,8,8,8,8,8,7,8,7,28,8,8,8,8,8,8,30,27,27,27,26,27,57.txt
0,19,16,19,19,28,18,25,7,7,16,5,6,10,5,10,9,7,8,13,6,6,6,6,6,6,6,6,6,6,8,8,8,10,8,8,8,8,8,8,7,8,7,28,8,8,8,8,8,8,25,27,27,27,26,27,60.txt
0,19,16,19,19,28,18,25,20,20,17,21,26,10,26,10,9,7,8,13,6,6,6,6,6,6,6,6,6,6,8,8,8,10,8,8,8,8,8,8,7,8,7,28,8,8,8,8,8,8,30,27,27,27,26,27,61.txt
0,19,16,19,19,28,18,25,24,23,14,24,9,6,26,30,9,7,8,28,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,30,27,27,27,26,27,63.txt
0,12,16,4,2,11,13,2,2,2,4,4,4,4,26,4,4,4,3,4,16,16,16,16,2,3,4,3,3,3,4,4,4,24,3,3,3,3,3,4,26,29,26,27,3,3,3,3,7,4,3,3,7,3,4,4,65.txt
0,12,16,4,25,11,13,28,26,27,4,2,2,2,4,2,2,2,2,2,16,16,28,29,28,2,2,2,2,27,2,2,2,4,2,2,2,2,2,2,26,4,26,27,2,2,2,2,2,2,2,2,2,2,2,2,68.txt
0,19,17,23,23,30,19,26,24,23,14,19,9,29,26,20,25,5,5,30,26,26,27,26,27,23,26,24,24,25,6,9,9,5,9,9,9,9,9,9,29,9,29,28,9,9,9,9,9,9,9,9,9,9,9,27,71.txt
15,22,16,19,19,25,27,22,24,23,14,19,9,10,24,26,9,30,11,28,24,24,25,25,25,18,19,18,19,21,26,28,28,28,29,29,29,29,29,28,24,30,24,28,28,30,29,29,30,28,30,27,27,27,26,27,72.txt
29,29,19,29,12,28,18,25,20,20,27,21,26,20,28,19,20,22,21,26,23,23,24,24,24,22,25,25,25,26,28,27,27,23,28,28,28,28,28,27,28,28,28,28,30,29,28,24,29,27,30,27,27,27,26,26,76.txt
0,19,16,19,19,28,18,25,20,20,17,26,26,10,26,25,9,7,8,13,23,23,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,28,28,30,29,24,30,28,30,27,27,27,26,27,78.txt
0,19,16,19,19,25,27,22,29,29,17,26,26,10,26,25,9,7,8,13,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,9,28,30,29,29,30,28,28,30,27,29,29,29,81.txt
0,0,16,19,19,28,18,25,20,20,17,21,26,6,5,30,9,7,8,13,6,6,6,6,6,6,6,6,6,6,8,8,8,10,8,8,8,8,8,8,7,8,7,28,8,8,8,8,8,8,30,27,27,27,26,27,84.txt
0,19,16,19,19,28,18,25,20,20,17,21,26,10,26,25,9,7,8,13,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,30,27,27,27,26,27,86.txt
0,19,16,19,19,28,18,25,20,20,17,23,26,10,5,25,9,7,8,13,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,6,28,30,29,29,30,28,30,27,27,27,26,27,89.txt
0,19,16,19,19,28,18,25,20,20,17,21,26,6,5,30,9,7,8,28,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,30,27,27,27,26,27,90.txt
0,19,16,19,19,28,18,25,20,20,16,21,26,6,5,30,9,29,11,28,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,30,27,27,27,26,27,92.txt
29,29,19,24,24,28,18,25,7,7,27,5,6,12,30,10,20,22,21,26,6,6,6,6,6,6,6,6,6,6,8,8,8,10,8,8,8,8,8,8,7,8,7,26,8,8,8,8,8,8,11,27,27,27,26,26,95.txt
0,23,17,23,23,30,19,26,14,14,14,15,26,9,26,9,25,5,5,28,26,26,27,26,27,23,26,24,24,25,6,9,9,11,9,9,9,9,9,9,29,9,29,9,9,9,9,9,9,9,9,9,9,9,9,9,97.txt
0,0,16,19,19,28,18,25,20,20,17,21,26,10,26,10,9,7,8,13,6,6,6,6,6,6,6,6,6,6,8,8,8,10,8,8,8,8,8,8,7,8,7,28,8,8,8,8,8,8,30,27,27,27,26,27,98.txt
0,19,16,19,19,28,18,25,20,20,17,26,26,10,26,25,9,7,8,28,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,28,30,27,29,29,27,100.txt
0,19,16,19,19,28,18,25,20,20,17,21,26,10,5,27,9,29,11,28,24,24,25,25,25,18,19,18,19,21,26,28,28,24,29,29,29,29,29,28,24,29,24,28,28,30,29,29,30,28,30,27,27,27,26,27,102.txt
