0,1,2,3,4,5,filename
3,8,11,16,18,18,2.txt
12,19,22,24,14,18,5.txt
3,8,22,16,20,18,9.txt
12,19,11,24,18,18,12.txt
3,8,11,24,18,18,14.txt
11,22,11,26,18,17,16.txt
3,8,11,24,18,17,17.txt
11,19,11,24,18,18,21.txt
12,19,22,24,14,17,23.txt
3,8,11,24,18,18,24.txt
3,8,11,24,21,18,26.txt
11,8,11,23,18,18,28.txt
12,22,8,30,8,29,30.txt
3,22,21,24,23,18,32.txt
11,23,11,23,20,18,34.txt
12,19,11,16,23,24,36.txt
3,8,11,24,18,18,40.txt
3,22,8,30,8,29,41.txt
11,8,11,23,18,18,49.txt
3,8,11,24,20,18,53.txt
3,8,11,24,20,18,55.txt
3,8,11,24,20,18,57.txt
3,8,11,24,18,17,60.txt
3,8,15,24,21,18,61.txt
11,8,11,23,18,18,63.txt
3,8,11,24,20,18,65.txt
3,8,22,24,20,18,68.txt
3,8,11,16,16,18,71.txt
11,30,11,26,18,24,72.txt
3,8,11,24,18,18,76.txt
3,8,11,24,24,18,78.txt
11,19,11,24,14,18,81.txt
3,8,11,24,20,18,84.txt
3,8,11,24,18,18,86.txt
3,8,22,24,20,18,89.txt
3,8,11,24,18,18,90.txt
3,8,11,24,18,21,92.txt
3,8,11,24,18,18,95.txt
12,19,11,16,14,24,97.txt
3,8,11,24,18,18,98.txt
3,8,11,24,18,18,100.txt
3,8,11,24,18,18,102.txt
11,19,16,24,14,18,105.txt
3,8,11,24,18,18,108.txt
3,19,11,24,14,17,110.txt
3,8,11,24,18,18,112.txt
11,19,11,16,14,18,114.txt
3,19,21,24,14,18,116.txt
11,8,11,24,18,18,118.txt
11,8,11,26,18,18,121.txt
3,8,11,16,20,18,123.txt
11,19,16,16,14,18,124.txt
11,8,11,23,18,18,126.txt
3,8,11,24,18,18,128.txt
11,8,22,23,18,18,130.txt
3,19,18,24,14,18,132.txt
3,8,11,24,24,18,135.txt
3,8,11,24,18,18,137.txt
12,23,21,24,14,18,141.txt
11,8,11,24,18,18,144.txt
3,8,11,24,20,18,145.txt
11,8,11,23,18,17,147.txt
11,19,21,23,14,18,149.txt
3,8,21,24,28,18,151.txt
3,8,22,24,18,18,154.txt
11,8,11,24,18,18,156.txt
11,8,11,24,24,18,158.txt
3,19,11,24,14,17,160.txt
3,8,11,24,18,18,161.txt
3,8,21,16,24,18,163.txt
3,8,11,24,18,18,165.txt
3,8,11,24,24,18,167.txt
3,8,11,24,24,18,169.txt
11,8,11,24,18,18,171.txt
3,8,22,24,24,18,173.txt
3,8,11,24,28,24,175.txt
11,8,11,24,18,18,177.txt
3,8,11,24,18,18,179.txt
3,8,11,24,18,18,182.txt
3,8,11,24,18,18,184.txt
3,8,11,24,18,18,188.txt
3,8,11,16,24,18,189.txt
3,19,11,24,14,18,191.txt
12,8,22,24,24,18,194.txt
11,8,11,24,18,17,197.txt
3,19,11,24,18,18,199.txt
3,8,11,16,27,18,203.txt
11,8,11,24,18,18,204.txt
11,8,11,16,24,18,209.txt
12,8,11,16,18,18,210.txt
3,8,22,24,18,18,212.txt
11,19,22,23,14,18,214.txt
11,8,21,24,14,18,217.txt
3,22,11,24,18,18,219.txt
3,8,11,24,18,21,220.txt
12,19,11,24,14,18,222.txt
3,8,21,24,18,17,225.txt
3,8,18,24,18,18,227.txt
3,8,11,24,18,18,229.txt
11,30,11,26,18,18,231.txt
3,8,11,24,18,18,236.txt
11,19,11,24,14,18,241.txt
11,19,11,24,18,18,242.txt
3,8,11,24,23,18,245.txt
12,19,27,27,7,7,247.txt
12,19,11,24,14,18,249.txt
9,17,11,24,14,18,250.txt
11,8,11,24,18,18,252.txt
3,8,21,24,18,18,256.txt
3,19,11,24,14,18,258.txt
3,8,11,24,18,18,260.txt
12,8,11,16,20,18,261.txt
3,8,11,24,18,17,264.txt
3,8,11,24,18,18,269.txt
3,8,11,24,18,18,272.txt
3,8,21,24,18,18,274.txt
3,19,26,27,7,25,276.txt
3,8,21,24,18,18,280.txt
11,8,11,24,18,18,282.txt
3,29,11,16,14,18,283.txt
3,19,8,30,8,29,284.txt
3,28,11,24,14,18,286.txt
11,8,11,24,27,18,288.txt
12,19,22,24,14,18,290.txt
3,19,11,16,14,18,293.txt
3,8,27,27,7,7,295.txt
3,19,11,24,23,18,297.txt
12,8,11,24,20,18,300.txt
3,8,11,24,18,18,303.txt
3,8,22,24,24,18,305.txt
3,19,11,24,14,18,307.txt
3,19,11,24,14,18,311.txt
3,8,11,24,18,18,313.txt
3,22,16,24,18,24,318.txt
3,8,11,24,18,18,320.txt
