0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,filename
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,3,25,15,12,25,12,24,1,27,25,25,28,14,2.txt
28,0,9,26,24,11,6,9,10,12,3,19,16,20,18,8,30,25,9,9,25,28,29,30,6,24,23,22,22,22,1,27,25,25,28,4,5.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,5,5,5,5,4,1,27,25,25,28,24,9.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,24,23,22,22,22,1,27,25,25,28,24,12.txt
1,1,9,16,17,5,8,25,19,28,23,14,0,17,0,18,20,19,24,24,20,22,21,19,20,15,26,25,25,24,0,0,0,0,0,14,14.txt
28,0,15,26,24,25,0,0,0,26,12,30,13,28,29,18,30,3,0,0,25,28,29,30,6,15,30,27,25,26,1,27,25,25,28,14,16.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,24,23,22,22,22,1,27,25,25,28,24,17.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,15,30,27,25,26,1,27,25,25,28,14,21.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,27,25,26,1,27,25,25,28,14,23.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,24,23,22,22,22,1,27,25,25,28,24,24.txt
1,1,9,0,15,6,1,1,8,6,15,14,0,0,0,18,0,0,3,3,16,2,2,3,2,13,27,25,26,24,0,0,0,0,0,14,26.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,24,23,22,22,22,1,27,25,25,28,24,28.txt
1,1,9,26,24,20,26,22,6,2,12,11,13,13,14,2,15,1,24,24,3,3,3,3,3,0,0,0,0,0,1,1,1,1,1,12,30.txt
28,30,15,26,24,25,4,4,5,26,12,30,13,28,29,18,30,10,0,0,29,18,20,28,30,15,30,25,25,24,12,21,11,11,26,14,32.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,15,30,27,25,26,12,21,21,21,20,14,34.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,24,23,22,22,22,1,27,25,25,28,24,36.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,27,25,26,1,27,25,25,28,14,40.txt
1,24,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,15,27,25,26,24,1,27,25,25,28,14,41.txt
1,1,24,16,15,5,29,30,28,28,23,27,4,0,0,5,30,25,24,24,6,6,6,6,6,12,30,25,25,24,3,3,3,3,4,14,49.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,15,30,25,25,24,1,27,25,25,28,14,53.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,15,30,25,25,24,1,27,25,25,28,14,55.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,27,25,26,24,1,27,25,25,28,14,57.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,25,25,24,1,1,1,1,1,14,60.txt
1,12,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,3,3,16,26,26,11,25,15,27,25,26,24,12,5,5,5,3,14,61.txt
1,14,9,26,24,25,8,25,19,26,12,30,13,28,29,18,2,2,21,22,25,28,29,30,6,24,23,22,22,22,3,3,3,3,4,24,63.txt
1,14,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,3,3,16,26,26,11,25,15,30,27,25,26,12,5,5,5,5,14,65.txt
28,1,3,24,9,13,3,3,10,3,20,21,18,18,10,11,19,25,9,9,6,6,6,6,6,24,23,22,22,22,1,27,25,25,28,4,68.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,5,5,5,5,4,1,27,25,25,28,24,71.txt
28,1,15,26,24,25,6,9,10,26,12,30,13,28,29,18,30,3,9,9,6,6,6,6,6,24,23,22,22,22,1,27,25,25,28,24,72.txt
1,1,24,16,15,5,8,25,19,28,23,14,8,17,0,5,21,20,24,24,20,22,21,19,20,15,12,25,12,24,7,7,7,7,7,14,76.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,3,3,16,26,26,11,25,15,30,25,25,24,12,5,5,5,3,14,78.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,25,25,24,1,27,25,25,28,14,81.txt
1,0,9,26,24,25,29,22,27,26,12,11,13,13,14,18,20,19,24,24,2,16,16,2,16,15,27,25,26,24,1,27,25,25,28,14,84.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,27,25,26,24,1,27,25,25,28,14,86.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,15,30,25,25,24,1,27,25,25,28,14,89.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,28,28,6,6,6,6,6,15,29,25,28,24,1,27,25,25,28,14,90.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,25,25,24,1,27,25,25,28,14,92.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,3,3,16,26,26,11,25,15,27,25,26,24,20,20,20,20,3,14,95.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,24,23,22,22,22,1,27,25,25,28,24,97.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,25,25,24,1,27,25,25,28,14,98.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,25,25,24,1,27,25,25,28,14,100.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,15,30,25,25,24,1,27,25,25,28,14,102.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,16,16,11,16,15,27,27,26,26,1,27,25,25,28,14,105.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,13,30,25,25,24,2,2,2,2,2,14,108.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,3,24,24,6,6,6,6,6,15,30,25,25,24,1,27,25,25,28,14,110.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,27,25,26,1,27,25,25,28,14,112.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,15,30,27,25,26,1,27,25,25,28,14,114.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,15,30,25,25,24,1,27,25,25,28,14,116.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,25,25,24,1,27,25,25,28,14,118.txt
28,30,9,26,24,11,6,9,10,26,3,29,3,3,3,18,30,8,9,9,1,1,1,1,1,5,5,5,5,4,1,27,25,25,28,24,121.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,3,3,16,26,26,11,25,15,30,25,25,24,1,27,25,25,28,14,123.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,15,30,25,25,24,1,27,25,25,28,14,124.txt
1,1,9,26,24,25,29,22,27,26,12,11,13,29,30,18,16,26,24,24,6,6,6,6,6,15,27,25,26,24,1,27,25,25,28,14,126.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,27,25,26,1,27,25,25,28,14,128.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,27,25,26,1,27,25,25,28,14,130.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,24,23,22,22,22,1,27,25,25,28,24,132.txt
1,0,9,26,24,25,29,22,27,26,12,11,13,13,14,18,16,17,24,24,6,6,6,6,6,15,27,25,26,24,1,27,25,25,28,14,135.txt
1,28,9,6,5,5,29,30,28,28,23,14,20,0,0,5,30,3,24,24,6,6,6,6,6,15,12,25,12,24,7,7,7,7,7,14,137.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,27,25,26,1,27,25,25,28,14,141.txt
1,1,9,26,24,25,29,30,28,26,28,26,25,26,25,25,25,27,24,24,6,6,6,6,6,21,27,25,26,24,1,27,25,25,28,14,144.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,24,23,22,22,22,1,27,25,25,28,24,145.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,6,6,6,7,1,27,25,25,28,5,147.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,25,25,24,1,27,25,25,28,14,149.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,25,25,24,1,27,25,25,28,14,151.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,6,6,6,6,6,15,30,25,25,24,1,27,25,25,28,14,154.txt
1,1,24,16,15,28,1,1,13,6,23,27,4,8,5,5,20,19,24,24,20,22,21,19,20,12,30,25,25,24,21,15,15,15,17,14,156.txt
1,1,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,3,25,15,30,25,25,24,1,27,25,25,28,14,158.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,24,24,16,26,26,11,25,15,30,25,25,24,19,5,5,5,20,14,160.txt
1,1,9,26,24,25,29,30,28,26,28,26,25,26,25,25,25,27,24,24,6,6,6,6,6,21,30,25,25,24,1,27,25,25,28,14,161.txt
1,0,9,26,24,25,29,30,28,26,12,30,13,28,29,18,30,25,3,3,16,26,26,3,25,15,27,25,26,24,12,5,5,5,3,14,163.txt
1,1,24,16,17,0,29,30,28,6,15,14,4,17,0,0,20,19,24,24,6,6,6,6,6,15,30,25,25,24,2,2,2,2,2,14,165.txt
