0,1,2,3,filename
13,13,5,24,2.txt
10,13,5,7,5.txt
5,12,6,5,9.txt
5,13,5,3,12.txt
5,13,5,5,14.txt
8,13,5,3,16.txt
5,13,5,5,17.txt
5,13,5,5,21.txt
5,13,5,13,23.txt
5,13,5,6,24.txt
5,13,5,5,26.txt
5,13,5,5,28.txt
5,13,5,5,30.txt
5,13,5,3,32.txt
5,13,5,5,34.txt
8,13,5,3,36.txt
5,13,5,5,40.txt
5,13,5,5,41.txt
5,13,5,3,49.txt
5,13,5,5,53.txt
5,13,5,5,55.txt
5,13,5,5,57.txt
5,13,5,5,60.txt
5,13,5,5,61.txt
5,13,5,5,63.txt
5,13,5,5,65.txt
5,13,5,5,68.txt
5,13,5,20,71.txt
5,13,5,3,72.txt
5,13,5,3,76.txt
5,13,5,5,78.txt
8,13,5,3,81.txt
5,13,5,5,84.txt
5,13,5,3,86.txt
5,16,5,5,89.txt
5,13,5,3,90.txt
5,13,5,3,92.txt
5,13,5,5,95.txt
11,13,5,6,97.txt
5,13,5,5,98.txt
5,13,5,3,100.txt
5,13,5,5,102.txt
5,13,5,5,105.txt
5,13,5,5,108.txt
5,13,5,3,110.txt
5,13,5,5,112.txt
5,13,5,5,114.txt
5,13,5,7,116.txt
5,10,5,5,118.txt
5,13,5,3,121.txt
5,16,5,5,123.txt
8,13,5,10,124.txt
5,13,5,5,126.txt
5,13,5,13,128.txt
5,13,5,6,130.txt
5,13,5,3,132.txt
5,13,5,5,135.txt
5,13,5,3,137.txt
5,13,5,5,141.txt
5,13,5,5,144.txt
5,13,5,5,145.txt
5,13,5,3,147.txt
5,13,5,5,149.txt
5,10,5,5,151.txt
5,13,5,6,154.txt
5,13,5,5,156.txt
5,13,5,5,158.txt
5,13,5,3,160.txt
5,13,5,5,161.txt
5,13,5,5,163.txt
5,13,5,5,165.txt
5,13,5,5,167.txt
5,13,5,5,169.txt
5,13,5,5,171.txt
5,13,5,5,173.txt
5,13,5,6,175.txt
5,10,5,6,177.txt
5,13,5,5,179.txt
5,13,5,3,182.txt
5,13,5,5,184.txt
5,13,5,5,188.txt
5,13,5,0,189.txt
5,13,5,5,191.txt
5,13,5,5,194.txt
5,13,5,3,197.txt
5,13,5,5,199.txt
8,13,4,16,203.txt
5,13,5,3,204.txt
5,10,5,5,209.txt
5,13,5,5,210.txt
5,13,5,5,212.txt
5,13,5,5,214.txt
5,13,5,3,217.txt
5,13,5,3,219.txt
5,13,5,13,220.txt
5,13,5,13,222.txt
5,13,5,3,225.txt
5,13,5,5,227.txt
5,13,5,5,229.txt
8,13,5,3,231.txt
5,13,5,5,236.txt
5,13,5,5,241.txt
5,13,5,3,242.txt
5,13,5,5,245.txt
5,13,5,5,247.txt
8,13,5,3,249.txt
5,13,5,3,250.txt
5,13,5,5,252.txt
5,13,5,6,256.txt
5,13,5,5,258.txt
5,13,5,5,260.txt
5,13,4,16,261.txt
5,13,5,3,264.txt
5,13,5,3,269.txt
5,13,5,5,272.txt
5,13,5,3,274.txt
5,12,6,27,276.txt
5,13,5,3,280.txt
8,13,5,3,282.txt
8,13,5,6,283.txt
5,13,5,5,284.txt
5,13,5,5,286.txt
5,13,5,5,288.txt
5,13,5,5,290.txt
8,13,5,3,293.txt
5,13,5,16,295.txt
5,13,5,8,297.txt
5,13,5,5,300.txt
5,13,5,5,303.txt
5,13,5,5,305.txt
11,13,5,7,307.txt
5,13,5,5,311.txt
5,13,5,5,313.txt
5,13,5,3,318.txt
5,13,5,3,320.txt
5,13,5,5,322.txt
5,13,5,5,323.txt
5,13,5,6,324.txt
5,13,5,6,326.txt
5,12,5,5,328.txt
5,13,5,3,329.txt
5,13,5,3,333.txt
5,13,5,5,335.txt
5,13,5,3,337.txt
11,13,5,6,341.txt
5,13,5,5,342.txt
5,13,5,5,344.txt
5,13,5,5,347.txt
5,13,5,5,349.txt
5,12,3,10,352.txt
5,13,5,20,354.txt
8,18,5,3,358.txt
5,13,5,3,360.txt
5,13,5,5,362.txt
5,13,5,5,364.txt
5,13,5,5,365.txt
5,13,5,3,368.txt
5,13,5,5,369.txt
5,13,5,5,371.txt
5,13,5,6,375.txt
5,13,5,5,377.txt
5,13,5,5,380.txt
5,10,5,3,382.txt
5,13,5,6,385.txt
5,13,5,5,386.txt
8,13,5,17,387.txt
5,10,5,5,391.txt
8,13,5,5,394.txt
5,10,5,29,395.txt
8,13,5,16,397.txt
5,10,5,5,400.txt
5,13,5,5,402.txt
5,13,5,5,405.txt
5,13,5,6,407.txt
5,13,5,5,411.txt
5,13,5,5,413.txt
5,13,5,5,416.txt
5,13,5,5,417.txt
0,2,5,3,419.txt
5,13,5,6,421.txt
5,13,5,3,423.txt
5,13,5,5,425.txt
5,13,5,3,427.txt
5,13,5,3,430.txt
5,13,5,5,434.txt
5,13,5,3,436.txt
5,13,5,5,439.txt
8,13,5,3,444.txt
5,13,5,7,447.txt
8,2,5,3,449.txt
5,13,5,5,452.txt
5,13,5,5,454.txt
5,13,5,5,456.txt
5,13,5,5,458.txt
5,13,5,5,460.txt
5,13,5,5,463.txt
5,13,5,5,465.txt
5,13,5,5,469.txt
5,13,5,6,472.txt
5,13,5,5,473.txt
5,13,5,5,475.txt
5,13,5,5,477.txt
5,13,5,5,479.txt
5,13,5,5,481.txt
5,13,5,5,485.txt
5,13,5,5,487.txt
5,13,5,5,488.txt
5,10,5,13,491.txt
5,13,5,5,492.txt
5,13,5,5,494.txt
11,12,5,7,496.txt
5,13,5,3,498.txt
5,13,5,5,500.txt
5,12,5,5,502.txt
5,13,5,5,503.txt
5,13,5,5,505.txt
5,13,5,5,507.txt
5,13,5,5,510.txt
5,13,5,6,513.txt
5,13,5,3,516.txt
5,13,5,5,518.txt
5,13,5,3,521.txt
5,13,5,5,524.txt
5,12,6,5,527.txt
5,13,5,5,529.txt
5,13,5,5,530.txt
5,13,5,5,532.txt
5,13,5,5,534.txt
5,13,5,5,536.txt
5,13,5,5,538.txt
5,13,4,10,541.txt
5,13,5,5,543.txt
5,13,5,5,545.txt
5,13,5,3,549.txt
5,13,5,5,551.txt
5,13,5,5,554.txt
5,12,5,5,557.txt
5,13,5,5,558.txt
5,13,5,5,561.txt
11,13,5,7,564.txt
5,10,5,6,566.txt
5,13,5,5,568.txt
5,13,5,5,572.txt
5,13,5,3,574.txt
5,13,5,6,576.txt
5,13,5,3,578.txt
5,13,5,5,580.txt
