0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,filename
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,14,27,22,24,28,0,0,0,0,0,0,13,6,0,0,7,0,6,6,0,12,0,0,0,0,0,29,0,0,2.txt
26,3,2,29,3,2,3,23,3,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,14,25,27,27,26,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,5.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,3,3,4,3,3,0,0,0,0,0,1,3,3,3,3,7,15,6,6,0,12,4,5,5,4,4,3,30,0,9.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,4,1,1,1,1,1,15,1,1,1,1,1,1,1,1,2,1,1,1,12.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,0,0,0,0,0,1,12,6,0,0,0,15,0,7,0,12,0,0,0,0,8,27,4,0,14.txt
23,26,3,20,0,4,0,0,0,0,27,24,3,0,0,20,0,20,0,25,0,6,29,10,29,14,1,1,1,1,5,0,0,0,0,2,12,6,0,0,7,0,6,6,16,12,0,0,0,0,1,10,30,0,16.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,26,7,7,14,27,22,24,28,1,1,1,1,1,29,1,1,1,1,7,15,6,6,16,6,3,10,11,3,1,8,30,8,17.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,0,8,9,8,7,1,12,6,3,3,7,15,6,6,0,12,4,5,5,4,4,3,30,0,21.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,23.txt
23,0,3,2,0,4,6,6,7,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,7,8,9,8,7,1,12,6,28,25,7,15,6,6,0,12,2,9,10,12,28,3,30,0,24.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,4,3,4,4,4,9,0,0,0,0,9,2,2,0,26.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,10,8,9,8,7,1,6,11,2,2,7,15,6,6,7,12,8,5,5,9,4,8,8,19,28.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,0,0,6,29,10,29,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,7,15,6,6,0,12,0,0,0,0,0,3,6,0,30.txt
26,4,30,29,30,14,23,16,13,8,9,23,7,23,6,17,15,15,14,5,16,14,16,21,13,27,17,12,20,23,21,8,9,8,7,15,30,25,11,11,23,26,29,25,11,26,24,7,8,18,6,28,25,25,32.txt
23,0,3,2,0,4,6,6,7,0,14,0,13,28,26,25,0,22,0,25,0,6,2,2,2,16,2,16,12,12,5,0,0,0,0,27,12,6,28,17,7,15,6,6,16,6,12,10,11,11,26,3,30,8,34.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,26,2,25,21,24,4,4,4,4,4,12,14,6,2,2,7,0,6,6,16,12,3,9,10,3,8,8,30,19,36.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,40.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,6,6,0,6,6,19,0,0,0,0,0,12,6,0,0,7,15,6,6,16,12,0,0,0,0,0,8,30,0,41.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,49.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,6,6,9,6,6,0,8,9,8,0,1,12,6,3,3,7,15,6,6,0,12,4,9,10,4,9,3,30,0,53.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,29,10,29,14,27,22,24,28,3,0,0,0,0,0,12,4,0,0,7,15,6,6,16,12,0,0,0,0,8,3,3,0,55.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,0,0,0,0,0,1,12,6,0,0,7,15,6,6,0,12,0,0,0,0,4,3,30,0,57.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,60.txt
23,0,3,20,0,4,0,0,0,1,14,21,7,1,1,5,4,13,5,1,10,8,29,10,29,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,2,2,9,12,0,0,0,0,0,3,30,0,61.txt
23,0,3,2,0,4,0,0,0,0,14,0,13,28,26,25,0,22,0,25,0,6,1,1,1,14,27,22,24,28,1,1,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,63.txt
23,24,3,2,10,4,0,0,0,7,8,6,7,8,12,17,11,13,14,9,10,8,29,10,29,0,0,0,0,0,0,9,10,17,12,0,23,14,3,3,6,20,25,9,9,12,4,2,2,4,9,3,30,0,65.txt
15,3,1,1,3,2,29,23,28,2,2,2,2,2,2,10,11,13,14,9,10,8,1,1,1,14,25,27,27,26,29,8,9,8,7,1,23,8,26,9,6,5,8,8,9,12,4,5,5,4,4,3,30,0,68.txt
