0,1,2,3,4,filename
0,11,9,0,22,2.txt
22,11,7,23,22,5.txt
9,11,0,0,6,9.txt
0,11,8,17,25,12.txt
0,11,0,0,22,14.txt
10,23,7,0,25,16.txt
0,11,0,0,24,17.txt
0,19,0,0,22,21.txt
0,11,11,0,25,23.txt
0,11,0,0,22,24.txt
0,11,0,0,22,26.txt
0,23,8,0,22,28.txt
0,0,16,18,24,30.txt
0,11,0,0,24,32.txt
10,23,7,15,24,34.txt
0,11,11,16,25,36.txt
0,11,0,0,22,40.txt
0,1,0,9,24,41.txt
10,23,7,0,25,49.txt
0,11,8,0,22,53.txt
0,11,0,0,24,55.txt
0,11,11,0,22,57.txt
0,11,0,0,22,60.txt
0,11,18,0,26,61.txt
0,23,11,0,22,63.txt
0,11,8,0,24,65.txt
10,11,7,0,22,68.txt
10,11,7,0,22,71.txt
10,23,7,0,25,72.txt
0,11,0,0,25,76.txt
0,11,8,0,22,78.txt
0,11,8,14,25,81.txt
0,11,0,0,22,84.txt
0,11,0,0,25,86.txt
0,11,0,0,11,89.txt
0,11,0,0,25,90.txt
0,11,0,0,25,92.txt
0,11,0,0,22,95.txt
8,11,6,7,28,97.txt
0,0,0,0,22,98.txt
0,11,8,0,25,100.txt
0,11,0,0,22,102.txt
0,22,8,0,22,105.txt
0,11,9,0,22,108.txt
0,11,0,0,25,110.txt
10,11,7,0,22,112.txt
0,23,8,11,22,114.txt
0,11,11,9,22,116.txt
0,11,0,0,22,118.txt
10,13,7,0,22,121.txt
0,11,0,0,29,123.txt
0,23,16,0,22,124.txt
0,23,11,0,22,126.txt
0,11,8,0,25,128.txt
0,23,0,0,22,130.txt
0,11,0,13,25,132.txt
0,11,8,0,22,135.txt
0,11,0,0,25,137.txt
0,11,15,15,22,141.txt
0,11,0,0,22,144.txt
0,11,8,0,22,145.txt
10,23,7,0,25,147.txt
0,9,24,0,22,149.txt
0,11,0,0,22,151.txt
0,11,16,0,22,154.txt
0,11,9,0,22,156.txt
0,28,0,0,22,158.txt
0,11,9,0,25,160.txt
0,11,0,0,22,161.txt
0,11,16,0,14,163.txt
0,11,18,0,22,165.txt
0,11,17,0,22,167.txt
0,11,0,0,22,169.txt
0,11,18,0,22,171.txt
0,11,8,0,22,173.txt
0,11,22,0,22,175.txt
0,11,0,0,22,177.txt
0,11,8,0,22,179.txt
