0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,filename
21,21,10,0,20,30,0,30,26,0,0,23,0,28,0,27,26,0,2.txt
21,21,15,20,21,30,30,27,25,24,29,30,0,29,28,27,0,0,5.txt
25,17,19,29,19,25,0,30,27,0,0,29,29,0,0,25,26,28,9.txt
21,21,10,29,28,30,0,25,30,29,29,23,0,29,0,30,0,26,12.txt
21,21,10,29,20,30,0,30,26,26,0,23,0,28,0,27,0,0,14.txt
21,21,10,0,20,30,0,25,25,28,26,23,0,29,28,29,0,26,16.txt
21,21,10,0,20,30,0,30,30,0,0,23,0,29,30,27,0,0,17.txt
21,21,10,29,20,30,0,30,30,0,0,23,0,29,29,27,0,0,21.txt
21,21,10,29,20,30,0,30,30,0,0,23,0,29,28,27,0,0,23.txt
21,27,10,29,22,30,0,30,26,26,0,23,0,28,0,27,26,0,24.txt
21,27,19,29,20,30,0,30,26,26,0,29,0,28,0,27,26,0,26.txt
21,21,10,29,22,30,0,30,30,26,0,23,0,29,29,27,0,0,28.txt
21,30,10,29,20,25,0,30,27,26,0,29,28,0,0,0,26,0,30.txt
21,20,15,20,21,30,30,30,30,24,29,29,0,29,0,27,0,0,32.txt
21,27,26,29,20,25,0,30,25,26,0,29,28,28,28,0,26,0,34.txt
21,21,10,0,27,30,0,30,30,0,29,23,0,29,28,30,0,26,36.txt
21,21,10,29,22,30,0,30,30,26,0,23,0,29,0,27,0,0,40.txt
21,21,10,0,20,30,0,30,26,0,0,23,0,28,0,27,26,0,41.txt
21,21,10,29,20,30,0,30,25,29,0,23,0,29,28,27,0,0,49.txt
21,27,10,29,20,30,0,30,26,26,0,29,0,28,0,27,26,0,53.txt
21,27,10,29,20,25,0,30,26,0,0,29,0,28,0,27,26,0,55.txt
21,27,18,29,20,30,30,30,26,26,30,29,28,28,28,0,26,0,57.txt
21,21,10,29,20,30,30,30,30,26,0,30,0,29,0,27,0,0,60.txt
21,30,18,29,20,25,30,30,27,26,0,29,28,0,0,0,26,0,61.txt
21,27,10,29,20,30,0,30,26,26,0,23,0,28,28,27,0,0,63.txt
21,30,30,29,20,30,30,30,26,26,0,29,28,0,0,0,26,0,65.txt
21,29,2,20,21,29,15,27,25,24,30,18,28,0,28,0,29,0,68.txt
21,21,10,0,22,30,0,30,25,0,0,23,0,28,28,27,26,0,71.txt
21,8,10,4,4,14,0,14,14,14,18,23,20,21,12,18,19,18,72.txt
21,21,10,29,20,30,0,25,30,29,0,23,0,29,0,29,0,26,76.txt
21,27,26,0,20,25,0,30,26,0,29,29,28,0,0,0,26,0,78.txt
21,21,10,0,20,30,0,30,30,0,29,23,0,29,0,27,0,26,81.txt
21,27,10,29,20,25,0,30,26,0,0,29,0,28,0,0,26,0,84.txt
21,21,10,29,20,30,0,30,30,0,0,23,0,29,0,27,0,0,86.txt
