0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,filename
7,14,17,15,28,24,22,28,22,21,26,16,26,25,28,29,23,26,27,24,25,25,28,21,2.txt
26,23,23,23,28,24,27,28,28,28,25,30,29,14,28,29,26,26,27,26,25,29,26,25,5.txt
28,25,25,26,19,27,25,21,25,24,18,14,16,23,24,15,15,13,12,12,27,10,10,9,9.txt
26,14,23,15,29,24,22,30,28,30,30,21,27,25,28,28,29,26,27,30,25,27,26,29,12.txt
7,14,17,15,28,24,22,28,22,21,20,16,26,28,28,27,23,26,27,24,25,25,28,21,14.txt
7,14,23,15,29,24,22,30,28,26,27,21,27,25,28,28,23,26,27,30,22,28,27,27,16.txt
26,14,17,15,28,24,22,28,22,28,27,16,29,25,28,28,30,26,25,24,25,30,27,21,17.txt
7,14,17,15,28,24,22,28,29,28,27,16,29,25,28,28,30,26,27,24,25,25,27,28,21.txt
7,14,17,15,30,24,22,30,28,26,26,26,27,25,28,28,23,26,27,24,25,28,28,25,23.txt
7,14,17,15,28,24,22,30,29,21,26,16,26,25,28,27,30,26,25,24,25,27,26,21,24.txt
7,23,17,15,28,24,22,28,22,21,20,16,26,23,28,27,23,26,27,24,25,25,27,21,26.txt
26,14,17,15,28,24,22,28,28,28,20,16,29,30,28,29,29,26,25,24,25,27,26,21,28.txt
25,23,23,15,28,24,22,28,29,21,27,22,25,23,28,27,23,21,27,30,24,25,27,26,30.txt
7,23,17,23,29,24,22,30,29,29,25,30,27,25,28,29,28,26,27,26,25,25,27,25,32.txt
25,23,23,15,28,24,22,30,28,21,27,16,26,23,28,27,23,26,27,29,22,28,27,21,34.txt
26,14,23,15,30,24,22,28,28,30,20,21,27,30,28,28,30,26,25,29,25,30,26,21,36.txt
26,14,17,15,28,24,22,30,29,28,20,16,26,30,28,27,29,26,27,24,25,28,28,21,40.txt
7,14,17,15,28,24,22,28,29,21,30,16,26,23,28,27,23,26,27,24,25,25,27,21,41.txt
7,14,17,15,30,24,22,28,28,26,20,26,27,30,28,29,23,26,27,24,25,28,27,21,49.txt
7,14,17,15,28,24,22,28,28,21,27,16,26,23,28,27,23,26,27,24,25,25,27,21,53.txt
7,14,17,15,28,24,22,28,22,21,20,16,26,23,28,27,23,26,27,24,25,25,27,21,55.txt
7,23,17,15,28,24,22,28,28,21,20,22,26,21,28,27,23,26,27,24,25,25,27,26,57.txt
7,14,17,15,30,24,22,28,22,26,20,26,27,30,28,28,23,26,27,24,25,28,27,21,60.txt
25,23,25,15,22,24,22,28,22,21,20,16,25,23,28,29,25,25,27,24,24,25,28,21,61.txt
7,14,17,15,28,24,22,30,28,21,20,16,26,28,28,27,30,26,27,24,22,27,27,21,63.txt
7,23,17,15,28,24,22,28,29,21,27,25,26,23,28,27,30,26,27,24,24,25,27,26,65.txt
7,23,17,15,28,24,22,28,28,21,25,30,26,21,28,29,27,25,27,26,29,29,27,21,68.txt
7,14,17,15,28,24,22,28,28,21,20,16,26,23,28,27,30,26,27,24,25,29,26,29,71.txt
7,14,17,15,29,24,22,30,28,30,30,21,27,25,28,28,30,26,27,30,25,28,26,21,72.txt
7,14,17,15,29,24,22,28,27,26,20,21,27,30,28,28,23,26,27,24,25,28,27,26,76.txt
25,14,17,15,28,24,22,28,22,21,20,16,26,23,28,29,23,26,27,24,25,25,28,25,78.txt
7,14,23,23,30,24,22,28,28,26,26,21,27,25,28,28,23,26,27,29,25,25,28,25,81.txt
7,14,17,15,28,24,22,28,29,21,20,16,26,23,28,27,23,26,27,24,25,25,27,21,84.txt
7,14,17,15,30,24,22,28,29,26,20,26,27,30,28,28,23,26,27,24,25,25,27,21,86.txt
27,14,25,21,22,30,22,28,29,21,26,16,22,23,28,27,25,25,27,24,24,25,27,21,89.txt
7,14,17,15,30,24,22,28,22,26,20,21,27,30,28,28,23,26,27,24,25,25,28,21,90.txt
7,14,17,15,30,24,22,28,29,30,20,26,27,30,28,28,30,26,27,24,25,28,27,21,92.txt
7,23,17,15,28,24,22,28,27,28,20,16,26,30,28,27,23,26,27,24,25,25,27,21,95.txt
7,14,23,23,28,24,22,28,29,21,26,16,26,25,28,27,26,26,27,30,25,30,26,25,97.txt
7,14,17,15,28,24,22,28,22,26,20,26,27,30,28,28,23,26,27,24,25,25,28,21,98.txt
7,14,17,15,30,24,22,28,29,26,20,26,27,30,28,28,23,26,27,24,25,25,27,21,100.txt
7,14,17,15,28,24,22,28,22,21,20,16,26,28,28,27,23,26,27,24,25,25,27,28,102.txt
7,14,17,15,28,24,22,30,22,21,20,16,26,28,28,27,23,26,27,24,25,25,27,25,105.txt
7,14,17,15,28,24,22,28,22,28,20,16,29,30,28,28,23,26,27,24,25,25,27,21,108.txt
7,14,17,15,29,24,22,28,29,30,27,26,27,25,28,29,30,26,27,24,25,28,27,25,110.txt
7,23,17,15,28,24,22,30,28,21,20,16,26,30,28,27,23,26,27,24,22,25,27,21,112.txt
7,14,23,23,28,24,22,28,29,21,27,22,26,14,28,27,23,26,27,28,22,25,27,25,114.txt
7,14,23,23,28,24,22,30,28,21,26,16,26,14,28,27,26,26,27,28,25,25,27,25,116.txt
7,14,17,15,28,24,22,28,29,28,20,16,29,30,28,29,23,26,27,24,25,25,27,21,118.txt
7,14,17,15,29,24,22,28,30,29,25,30,27,30,28,29,28,26,27,26,25,25,26,21,121.txt
