0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,filename
5,13,0,0,6,6,0,1,0,16,13,0,16,1,0,1,10,4,0,27,0,0,0,2,0,0,6,8,12,0,0,5,5,2,0,3,0,6,2,13,3,13,0,4,7,5,0,0,0,4,0,0,5,5,0,0,19,0,0,17,1,1,0,6,0,4,5,2.txt
5,12,4,1,6,6,0,0,3,7,26,2,2,9,15,1,7,4,0,18,0,27,0,2,6,2,4,9,5,20,19,4,8,2,0,20,1,15,0,1,1,21,5,5,29,12,0,5,0,0,0,0,5,7,5,3,1,0,4,18,4,1,0,10,0,10,2,5.txt
0,0,0,0,3,9,0,1,8,30,27,0,20,12,1,0,21,8,0,2,2,0,1,3,0,16,30,20,21,14,0,1,6,1,0,21,0,6,9,0,10,0,3,14,22,0,6,0,0,0,1,12,7,1,0,0,14,1,1,0,1,0,1,6,0,11,11,9.txt
5,11,4,1,6,6,0,0,3,16,13,2,2,9,1,10,7,4,0,11,0,20,0,2,10,6,20,5,5,4,0,4,5,2,0,6,0,4,0,6,4,17,5,4,4,12,4,0,0,0,0,0,2,3,0,0,15,0,0,5,0,1,0,4,5,17,5,12.txt
5,11,0,1,6,6,0,1,0,0,13,0,2,9,0,1,7,4,0,4,0,0,0,2,1,28,3,9,0,0,0,4,1,2,0,4,1,6,0,14,0,17,4,14,7,12,0,0,0,0,0,0,2,0,0,0,0,0,0,23,11,1,0,6,3,10,5,14.txt
5,11,3,1,6,6,0,7,0,0,26,0,2,9,0,9,22,4,0,5,0,3,0,2,1,6,20,8,0,6,0,4,5,2,0,6,0,3,0,21,4,22,5,4,4,12,0,0,0,8,0,0,2,3,0,0,28,0,0,5,3,1,0,5,0,4,3,16.txt
5,11,3,1,6,6,0,0,3,17,13,2,2,9,1,10,12,4,0,5,0,3,0,2,10,6,20,5,5,0,0,4,5,2,0,4,0,0,0,9,4,17,5,4,4,12,0,0,0,2,0,0,2,3,0,0,19,0,0,5,0,1,0,4,0,8,5,17.txt
5,11,0,1,6,6,0,0,0,0,0,2,2,9,0,1,7,4,0,10,0,0,0,2,1,6,20,0,5,0,0,4,1,2,0,7,0,4,0,14,4,17,15,7,14,12,0,0,0,0,0,0,2,3,0,0,19,0,0,5,3,1,0,5,0,4,5,21.txt
5,11,3,1,6,6,0,0,3,13,13,2,2,9,0,1,7,4,0,10,0,3,0,2,1,6,4,17,0,6,0,4,1,2,0,6,0,0,0,14,4,21,4,15,7,12,0,0,0,0,0,0,2,3,0,0,1,0,0,5,0,1,0,4,3,4,5,23.txt
5,11,0,1,6,6,0,1,3,2,25,2,13,9,1,1,7,4,0,24,0,0,0,2,10,28,21,9,18,0,0,4,5,2,0,3,1,6,5,25,2,12,5,4,7,12,0,0,0,5,0,1,2,0,0,0,19,0,0,25,2,1,0,7,0,10,5,24.txt
5,11,0,1,6,6,0,1,0,0,13,0,16,9,0,1,12,4,6,0,0,0,0,2,1,13,7,9,18,0,1,4,1,2,0,3,1,2,5,0,2,6,4,14,7,12,0,0,0,0,0,1,2,1,0,0,0,0,0,19,2,1,0,0,0,10,4,26.txt
5,11,0,1,6,6,0,0,3,0,0,2,2,9,7,1,7,4,0,5,0,15,0,2,10,7,3,0,5,6,0,4,1,2,0,0,0,3,0,9,4,17,8,14,4,12,0,0,0,0,0,0,5,3,0,0,6,0,0,5,3,1,0,10,0,4,5,28.txt
10,11,0,1,6,6,0,8,0,0,13,0,16,3,0,10,1,3,0,6,0,0,0,0,1,3,7,5,18,15,0,4,1,2,0,3,1,6,5,19,2,3,9,4,3,12,0,0,0,0,9,1,6,1,0,0,15,1,1,3,1,1,0,6,0,2,5,30.txt
5,12,4,1,6,6,0,0,0,13,29,0,2,9,0,10,5,4,1,10,0,0,0,2,10,22,4,5,28,0,4,4,8,2,0,20,2,0,4,1,1,19,8,5,21,13,0,0,0,0,0,1,5,2,5,9,15,0,0,10,4,1,0,14,5,10,8,32.txt
5,11,0,1,6,6,0,8,0,20,26,0,15,3,0,10,13,4,0,15,0,22,0,2,1,23,7,5,6,6,0,4,5,2,0,3,1,6,5,13,3,5,5,4,7,12,5,0,0,5,9,1,2,1,0,0,17,1,0,3,1,1,0,5,7,2,3,34.txt
5,5,3,0,6,6,0,0,3,0,13,2,2,1,1,1,10,4,0,11,0,3,0,2,0,0,20,9,5,3,0,5,5,2,0,6,0,19,0,14,4,17,0,4,7,5,0,0,0,7,0,0,2,3,0,0,17,0,0,5,15,1,0,4,0,4,5,36.txt
5,11,0,1,6,6,0,0,3,0,0,0,2,9,0,1,7,4,0,11,0,17,0,2,1,6,3,0,0,0,0,4,1,2,0,7,1,0,0,0,4,17,4,14,12,12,0,0,0,3,0,0,2,3,0,0,14,0,0,5,0,1,0,6,3,0,5,40.txt
5,11,0,1,6,6,0,11,0,12,13,0,16,9,0,10,12,4,0,24,0,17,0,2,1,13,21,4,18,0,0,4,8,2,0,3,0,6,2,4,3,11,5,3,4,12,0,0,0,2,0,0,2,0,0,0,15,0,0,25,1,1,0,14,0,0,5,41.txt
5,11,0,1,6,6,0,0,0,0,26,0,2,9,0,1,7,4,0,5,0,6,0,2,1,6,3,9,0,6,0,4,1,2,0,4,0,3,0,0,4,17,4,14,7,12,0,0,0,2,0,0,5,3,0,0,1,0,0,5,3,1,0,5,0,4,7,49.txt
5,11,0,1,6,6,0,1,0,19,0,0,13,9,0,1,7,4,0,15,0,0,0,2,1,23,7,0,18,4,0,4,1,2,0,3,0,6,5,13,3,6,5,4,10,12,0,0,0,0,0,1,2,1,0,0,25,0,0,22,1,1,0,6,3,16,5,53.txt
5,11,0,1,6,6,0,8,0,20,13,0,16,3,0,10,8,4,0,17,0,0,0,2,1,13,7,4,18,0,0,4,1,2,0,3,0,6,5,16,2,6,4,11,6,12,0,0,0,0,0,1,2,1,0,0,14,0,0,7,1,1,0,0,0,0,5,55.txt
5,11,0,1,6,6,0,1,0,0,0,0,2,9,0,1,7,4,0,6,0,0,0,2,1,28,7,0,7,6,0,4,1,2,0,3,1,2,5,2,8,7,9,14,3,12,0,0,0,0,0,1,2,1,0,1,1,0,0,4,2,1,0,0,0,10,5,57.txt
5,11,3,1,6,6,0,0,0,0,0,0,2,9,0,1,7,4,0,11,0,3,0,2,1,6,3,0,0,0,0,4,1,2,0,0,1,0,0,0,0,17,4,14,0,12,0,0,0,2,0,0,2,3,0,6,14,0,0,5,0,1,0,0,3,16,6,60.txt
5,11,0,1,6,6,0,1,0,0,13,0,16,3,0,1,1,4,0,17,0,0,0,0,1,29,7,9,18,15,1,4,1,2,0,3,1,2,5,26,14,3,4,9,7,12,0,0,0,0,9,1,6,1,4,6,19,1,0,3,2,1,0,0,0,2,4,61.txt
5,11,3,1,6,6,0,1,0,0,0,2,2,9,7,1,7,4,0,4,0,28,0,2,1,28,3,0,0,6,0,4,1,2,0,4,1,6,0,0,4,17,4,14,0,12,0,0,0,2,0,1,2,0,0,0,1,0,0,18,10,1,0,8,0,10,5,63.txt
5,10,0,1,6,6,0,8,0,20,13,0,16,9,0,10,7,4,6,6,0,0,0,2,1,3,7,5,18,5,1,4,5,2,0,3,1,2,5,1,12,5,5,5,3,12,0,0,0,0,0,1,2,1,5,9,10,0,0,19,2,1,0,0,0,10,4,65.txt
5,12,0,1,6,6,0,9,0,0,26,2,2,9,1,1,7,4,1,15,0,0,0,2,6,3,7,9,13,2,8,4,1,2,0,17,1,2,0,1,1,6,5,5,29,12,0,3,0,0,0,3,0,1,5,5,1,0,4,19,4,1,0,8,0,10,2,68.txt
5,13,0,0,6,6,0,1,3,0,26,2,13,1,1,1,4,4,0,24,0,0,0,2,0,0,7,0,6,3,0,5,1,0,0,3,0,6,5,0,3,6,0,14,8,3,0,0,0,0,0,0,2,0,0,0,1,0,0,24,1,1,0,9,0,4,3,71.txt
5,11,3,1,6,6,0,0,0,13,26,2,2,23,2,10,7,4,0,5,0,3,0,2,10,6,4,5,5,6,0,4,5,2,0,4,0,12,0,9,6,22,5,4,4,12,4,6,0,0,0,0,2,3,0,0,1,0,4,5,3,1,0,4,0,4,3,72.txt
9,11,0,1,6,6,0,0,0,0,0,0,2,9,0,9,7,4,0,5,0,10,0,2,1,19,3,0,0,0,0,4,1,2,0,0,0,0,0,2,4,17,1,14,3,12,0,0,0,2,0,0,2,3,0,0,0,0,0,5,0,1,0,0,0,4,5,76.txt
5,11,4,1,6,6,0,1,0,0,0,0,15,3,0,1,1,4,0,0,0,1,0,0,1,13,7,0,18,8,0,4,1,2,0,3,0,6,5,0,3,4,4,17,0,12,0,0,0,0,8,1,3,1,0,0,19,1,0,3,1,1,0,6,7,6,4,78.txt
5,11,4,1,6,6,0,0,3,13,0,0,2,9,0,1,12,4,0,9,0,12,0,2,1,7,4,0,0,4,0,4,5,2,0,0,0,4,0,29,4,21,5,4,4,12,0,0,0,1,0,0,5,3,0,0,18,0,0,5,0,1,0,14,3,4,5,81.txt
5,11,0,1,6,6,0,1,0,0,0,0,13,3,0,1,8,4,0,15,0,0,0,2,1,13,7,0,4,0,0,4,1,2,0,3,0,6,5,13,2,6,5,14,0,12,0,0,0,0,0,1,2,1,0,0,0,0,0,4,1,1,0,0,0,0,5,84.txt
5,11,0,1,6,6,0,0,0,0,7,0,2,9,0,1,7,4,0,11,0,17,0,2,1,6,3,0,0,0,0,4,1,2,0,0,0,4,0,9,4,17,5,18,4,12,0,0,0,0,0,0,5,3,0,0,0,0,0,5,0,1,0,6,0,4,5,86.txt
10,11,0,1,6,9,0,1,5,30,14,2,15,13,0,0,21,11,0,7,0,0,1,3,1,29,17,20,20,15,0,4,7,2,0,26,1,6,1,9,2,23,5,6,22,12,0,0,0,0,9,7,7,1,0,0,19,1,1,3,1,0,0,1,0,2,5,89.txt
5,11,0,1,6,6,0,0,0,0,0,0,2,9,0,1,12,4,0,5,0,13,0,2,1,6,3,0,0,0,0,4,1,2,0,0,0,0,0,0,0,17,4,14,0,12,0,0,0,2,0,0,2,3,0,0,0,0,0,5,0,1,0,0,0,4,5,90.txt
5,11,3,1,6,6,0,0,0,0,0,2,2,9,0,1,7,4,0,5,0,28,0,2,1,6,3,0,0,0,0,4,1,2,0,14,0,0,0,0,4,17,4,14,0,12,0,0,0,2,0,0,2,3,0,0,0,0,0,5,0,1,0,0,0,4,5,92.txt
9,11,0,1,6,6,0,3,0,0,0,0,2,9,0,1,7,4,0,16,0,1,0,2,1,28,20,0,15,0,4,4,1,2,0,7,1,2,0,1,1,15,1,5,13,12,0,0,0,0,0,1,2,1,5,6,19,0,0,22,4,1,0,0,7,10,4,95.txt
5,13,3,0,6,6,0,1,3,9,0,2,13,1,15,1,18,4,0,23,0,3,0,2,0,0,18,0,12,0,0,5,3,2,0,3,0,6,2,9,3,21,0,19,4,15,0,0,0,0,0,0,2,5,0,0,18,0,0,20,1,1,0,7,8,17,5,97.txt
5,11,0,1,6,6,0,0,0,0,0,0,2,9,0,1,7,4,0,11,0,17,0,2,1,6,20,0,0,0,0,4,1,2,0,7,0,0,0,13,0,17,6,15,8,12,0,0,0,0,0,0,2,3,0,0,19,0,0,5,0,1,0,0,3,16,5,98.txt
5,11,0,1,6,6,0,0,0,0,0,2,2,9,0,1,7,4,0,11,0,0,0,2,1,6,20,0,0,0,0,4,1,2,0,0,0,0,0,13,4,17,5,15,0,12,0,0,0,0,0,0,5,3,0,0,19,0,0,5,0,1,0,0,0,4,6,100.txt
5,11,0,1,6,6,0,1,0,0,0,2,2,9,0,1,7,4,0,24,0,0,0,2,1,13,16,0,12,0,0,4,1,2,0,3,0,6,2,0,4,16,4,18,0,12,0,0,0,0,0,0,2,5,0,0,0,0,0,23,1,1,0,0,3,4,5,102.txt
5,11,4,1,6,6,0,1,0,0,0,0,2,9,0,1,12,4,0,10,0,0,0,2,1,6,13,0,0,5,0,4,1,2,0,0,0,4,0,27,0,21,4,9,0,12,0,0,0,0,0,0,2,3,0,0,10,0,0,5,3,1,0,5,0,0,5,105.txt
5,11,0,1,6,6,0,0,0,0,0,0,2,9,0,1,7,4,0,5,0,0,0,2,1,6,3,0,0,0,0,4,1,2,0,4,0,0,0,0,4,17,4,14,9,12,0,0,0,0,0,0,2,3,0,0,0,0,0,5,0,1,0,0,0,0,5,108.txt
5,11,3,1,6,6,0,0,0,2,29,0,2,9,0,9,7,4,0,10,0,3,0,2,1,6,20,0,0,0,0,4,1,2,0,0,2,0,0,13,0,21,5,4,0,12,0,0,0,2,0,0,5,3,0,0,19,0,0,5,0,1,0,0,0,4,5,110.txt
5,11,0,1,6,6,0,0,0,0,26,0,2,9,0,1,7,4,0,24,0,0,0,2,1,28,3,0,25,6,1,4,1,2,0,0,1,19,0,0,4,17,4,14,0,12,0,0,0,0,0,0,2,5,0,1,1,0,0,18,11,1,0,6,0,1,3,112.txt
