0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,filename
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,15,22,27,18,28,0,27,24,27,21,9,7,8,8,0,6,7,6,6,7,17,7,0,0,6,23,30,24,0,3,5,8,5,5,3,17,0,0,2.txt
12,30,17,5,2,8,3,3,2,4,3,3,3,3,3,3,9,3,3,13,2,2,2,2,2,2,2,4,2,2,2,3,3,3,3,1,1,1,1,1,3,3,3,3,23,1,1,1,1,1,17,1,7,1,8,1,1,9,18,3,1,11,1,1,2,21,20,12,5.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,11,22,27,18,28,1,1,1,1,1,9,7,8,8,4,13,12,16,16,9,2,18,20,5,20,19,5,11,21,0,11,11,15,16,3,3,8,4,9.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,9,7,8,8,7,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,11,22,27,18,28,1,1,1,1,1,9,7,8,8,0,6,6,6,6,6,17,7,0,17,4,14,14,0,0,13,5,9,5,5,3,17,14,9,14.txt
0,0,5,0,22,0,4,4,3,0,2,2,14,2,18,0,0,0,0,9,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,29,26,23,26,20,9,7,8,8,0,2,2,2,2,2,17,2,22,2,4,2,2,24,0,3,2,11,2,2,3,17,0,0,16.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,14,18,19,19,9,9,7,8,8,7,6,7,6,6,7,17,0,0,11,28,2,28,24,24,13,27,11,25,25,3,17,7,6,17.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,11,22,27,18,28,1,1,1,1,1,9,7,8,8,7,1,1,1,1,1,2,1,0,1,4,1,1,0,0,0,1,11,1,1,3,17,14,4,21.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,9,7,8,8,7,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,7,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,9,7,8,8,7,1,1,1,1,1,17,1,4,1,4,1,1,4,4,8,1,11,1,1,11,17,14,4,24.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,11,0,0,30,30,23,29,26,0,29,28,11,0,27,0,28,29,26,23,26,20,9,7,8,8,0,6,6,6,6,6,17,7,0,6,4,23,30,0,0,0,5,2,5,5,3,7,0,0,26.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,0,0,0,0,7,1,1,1,1,1,17,1,2,1,2,1,1,13,22,8,1,11,1,1,3,17,14,4,28.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,9,0,6,0,29,26,23,26,20,9,7,8,8,0,6,6,6,6,6,17,7,0,0,4,23,30,0,0,0,5,11,5,5,3,17,0,0,30.txt
26,15,3,29,4,21,14,11,5,29,14,20,16,20,26,18,24,19,19,17,6,5,10,10,14,6,21,26,6,23,21,6,19,10,15,17,21,19,6,27,17,17,14,29,11,15,13,15,15,8,25,8,15,20,25,25,20,27,27,11,30,14,19,18,2,11,17,14,32.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,7,0,0,0,11,0,0,30,30,23,29,26,22,29,28,11,10,27,7,28,14,15,19,2,16,9,7,8,8,19,18,16,18,19,29,17,20,13,30,27,18,27,18,10,3,0,11,0,6,10,17,22,10,34.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,7,0,0,0,11,0,0,30,30,23,29,26,15,29,28,15,22,27,18,28,29,26,23,26,20,9,7,8,8,10,18,18,19,21,18,17,13,11,30,4,30,6,12,12,3,0,11,0,6,5,17,27,26,36.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,9,7,8,8,7,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40.txt
0,0,0,0,0,0,9,7,0,0,4,0,0,0,0,0,0,0,0,11,0,0,30,30,23,29,26,12,29,28,11,22,27,18,28,29,26,23,26,20,9,7,8,8,0,6,7,6,6,7,6,7,0,0,4,23,30,25,0,4,5,11,5,5,3,3,0,0,41.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,10,8,9,9,7,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,11,22,27,18,28,1,1,1,1,1,9,7,8,8,0,6,6,6,6,6,4,7,0,0,4,23,30,0,0,16,5,11,5,5,3,17,0,0,53.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,29,26,23,26,20,9,7,8,8,0,6,6,6,6,6,17,7,0,0,4,23,30,0,0,4,5,11,5,5,3,17,0,0,55.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,11,22,27,18,28,1,1,1,1,1,9,7,8,8,7,1,1,1,1,1,2,1,0,1,4,1,1,0,0,0,1,11,1,1,3,17,14,4,57.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,9,7,8,8,7,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,11,12,13,16,13,1,1,25,0,1,1,26,1,23,29,6,0,0,25,28,0,4,10,10,17,0,6,6,6,6,6,17,7,0,0,4,23,30,0,0,3,5,11,5,5,3,10,0,2,61.txt
0,0,0,0,0,0,9,7,0,0,27,0,20,0,8,0,0,0,4,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,9,7,8,8,7,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63.txt
0,2,0,0,0,0,9,7,0,0,27,0,0,0,0,7,0,0,0,11,12,13,15,15,18,12,25,0,3,4,26,7,23,5,10,29,26,23,26,20,22,16,11,17,4,6,6,6,6,6,6,7,0,6,4,17,14,0,23,3,5,11,5,5,3,11,14,14,65.txt
12,2,1,15,2,24,22,18,15,8,9,10,7,1,17,18,3,12,1,3,12,13,15,15,8,12,24,4,7,4,27,4,13,5,10,1,1,1,1,1,3,3,3,3,4,10,9,10,10,12,17,9,7,5,8,8,5,9,14,0,10,11,11,12,2,8,20,25,68.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,7,0,0,0,7,0,0,30,30,23,29,26,12,29,28,0,22,27,18,28,0,27,24,27,21,9,7,8,8,3,6,6,6,6,6,2,7,0,5,4,14,5,0,23,0,4,11,20,23,4,3,27,3,71.txt
0,0,5,0,0,0,4,9,3,28,2,2,2,2,2,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,9,7,8,8,23,10,9,10,10,3,17,3,2,25,2,14,13,9,15,3,11,11,11,12,3,17,14,5,72.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,0,0,0,0,7,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,76.txt
0,0,0,0,0,0,28,28,0,0,27,0,0,0,0,0,0,0,0,11,0,0,30,30,23,29,26,0,29,28,11,10,27,7,28,4,4,4,4,4,9,7,8,8,4,6,6,6,6,6,4,7,0,15,3,6,8,0,0,3,5,0,5,5,3,17,4,26,78.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,7,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,9,7,8,8,0,6,6,6,6,6,2,7,0,15,4,6,6,0,0,3,5,11,5,5,4,17,14,5,81.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,11,22,27,18,28,29,26,23,26,20,0,0,0,0,0,6,6,6,6,6,17,7,0,0,0,23,30,0,0,13,5,11,5,5,3,7,0,0,84.txt
0,0,0,0,0,0,9,7,0,0,27,0,0,0,0,0,0,0,0,7,0,0,30,30,23,29,26,15,29,28,0,22,27,18,28,1,1,1,1,1,9,7,8,8,7,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86.txt
