0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,filename
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,3,3,3,0,6,9,8,9,25,7,4,28,3,7,3,2,3,19,3,7,3,6,7,5,0,0,0,8,0,5,5,4,24,5,2.txt
29,9,29,10,28,17,15,26,24,30,22,10,23,17,29,9,1,12,10,8,3,25,21,1,15,14,27,12,13,26,23,23,23,11,17,17,18,21,15,17,19,28,21,14,17,9,30,29,10,10,10,11,22,17,30,23,24,15,14,16,5.txt
0,0,0,0,9,0,4,5,5,7,7,14,0,0,0,10,10,17,19,23,0,0,0,0,20,5,0,0,0,15,6,9,8,9,2,7,4,28,3,0,0,2,19,19,20,21,15,19,23,22,0,0,0,9,0,8,15,27,6,13,9.txt
0,0,0,0,9,0,4,5,5,7,17,8,8,4,7,10,7,19,6,3,6,5,5,6,20,4,3,3,3,26,6,2,30,2,3,7,4,28,3,7,3,2,3,19,3,7,3,6,7,5,24,26,30,3,30,5,5,2,24,8,12.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,2,7,4,28,3,0,0,2,19,19,20,21,15,19,23,4,0,0,0,25,0,10,12,20,9,13,14.txt
0,0,0,0,9,0,4,5,5,7,17,8,29,2,7,10,7,29,6,3,6,5,5,2,20,4,14,23,16,22,6,11,12,13,25,8,6,7,3,25,3,10,3,19,3,7,18,6,7,5,28,17,26,13,21,2,2,5,2,2,16.txt
0,0,0,0,9,0,4,5,5,7,17,8,8,13,7,10,7,19,6,3,6,5,5,6,20,4,3,3,3,22,6,2,2,2,25,7,4,28,3,7,3,2,3,19,3,7,3,6,7,5,30,17,3,8,27,2,2,6,2,8,17.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,14,23,16,0,6,9,8,9,25,8,4,7,3,15,0,2,19,19,20,27,3,18,30,29,0,0,0,24,0,5,5,6,24,9,21.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,3,3,3,0,6,9,8,9,3,7,4,28,3,7,0,27,19,19,20,24,18,15,30,29,0,0,0,13,0,5,5,2,24,8,23.txt
0,0,0,0,9,0,4,5,5,7,17,8,8,13,7,10,7,19,6,3,6,5,5,6,15,4,14,22,15,22,6,2,2,2,17,9,23,9,17,8,12,11,13,19,13,13,30,30,9,26,0,0,0,9,0,13,12,26,14,28,24.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,7,4,0,0,0,0,17,30,9,21,2,9,1,9,9,8,0,15,19,19,20,21,15,20,23,4,0,0,0,25,0,10,13,20,9,13,26.txt
0,0,0,0,9,0,4,5,5,7,17,8,8,13,7,10,7,19,6,3,6,5,5,6,20,4,0,0,0,22,6,2,30,2,0,7,6,28,3,0,15,11,15,19,14,7,0,6,7,5,27,18,25,25,21,0,0,0,0,0,28.txt
0,0,0,0,0,0,4,5,5,7,17,8,25,8,2,10,7,19,6,3,14,9,9,9,30,4,2,2,2,2,30,2,29,2,8,10,1,10,8,16,3,2,3,19,3,16,8,8,18,9,30,3,3,3,21,12,11,11,3,24,30.txt
29,23,11,4,1,11,7,26,1,13,13,13,13,4,15,27,6,6,29,29,22,19,22,16,15,30,26,16,12,27,8,24,25,5,8,28,29,21,28,14,5,5,7,26,9,16,8,8,22,15,24,25,24,3,22,21,25,24,9,30,32.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,3,3,3,0,6,19,19,19,8,7,4,28,3,7,3,2,3,19,3,16,8,8,22,15,0,0,0,3,0,13,8,22,6,12,34.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,20,20,19,0,7,4,28,3,0,0,2,19,19,20,24,0,15,30,29,0,0,0,9,0,0,0,0,0,0,36.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,2,7,4,28,3,0,0,2,19,19,20,21,15,19,23,6,0,0,0,13,0,7,7,10,11,11,40.txt
0,0,0,0,13,0,4,5,5,7,17,8,8,16,28,10,7,19,6,3,6,5,5,13,0,4,3,3,3,22,2,2,2,2,25,0,0,0,0,2,3,10,3,3,3,7,3,6,7,5,28,17,26,3,3,2,2,6,2,2,41.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,0,8,4,7,3,0,0,2,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,49.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,3,3,3,0,6,9,8,9,25,7,4,28,3,7,17,2,27,19,25,7,3,6,7,5,0,0,0,8,0,5,5,4,24,6,53.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,30,9,8,9,0,8,2,7,3,0,0,10,19,19,20,7,0,6,7,5,0,0,0,25,0,0,0,0,0,0,55.txt
0,0,0,0,9,0,4,5,5,7,17,8,6,4,20,10,7,19,6,11,21,17,27,13,12,4,11,5,8,1,21,6,6,28,12,10,25,10,1,22,15,15,27,19,25,4,15,7,4,22,1,1,10,28,9,10,18,20,8,29,57.txt
0,0,0,0,9,9,4,5,5,9,9,7,28,4,4,10,3,20,4,12,7,20,17,23,20,4,8,19,7,1,30,9,8,9,2,7,4,28,3,0,0,2,19,19,20,2,15,20,24,4,1,1,5,20,23,3,3,13,9,3,60.txt
0,0,11,5,1,0,26,17,19,7,17,8,10,0,12,25,7,19,6,1,0,0,0,0,1,23,8,5,8,0,21,25,26,28,22,16,29,15,30,27,0,2,19,7,20,16,23,27,16,15,0,0,0,29,0,13,18,29,18,13,61.txt
0,0,0,0,9,0,4,5,5,7,17,8,0,0,0,10,7,19,6,3,0,0,0,0,20,4,0,0,0,0,6,9,8,9,2,7,4,28,3,0,0,2,19,19,20,21,15,19,23,6,0,0,0,25,0,7,7,10,17,11,63.txt
