0,1,2,3,4,5,6,7,8,9,10,11,12,13,filename
0,0,5,8,0,10,9,8,0,14,0,30,12,0,2.txt
0,7,0,0,17,11,9,8,0,14,14,30,10,0,5.txt
10,7,5,10,0,13,0,8,0,7,11,8,12,0,9.txt
0,7,0,0,0,11,9,0,0,8,14,30,15,0,12.txt
0,7,0,0,0,11,9,8,0,7,0,30,12,10,14.txt
0,7,0,0,0,11,9,0,12,7,0,30,12,11,16.txt
0,7,0,0,0,11,9,8,0,10,14,30,15,10,17.txt
0,7,0,0,0,11,0,8,0,7,0,30,15,0,21.txt
0,7,0,0,0,11,0,8,0,7,0,30,12,0,23.txt
0,7,0,8,0,11,9,8,0,7,14,27,15,0,24.txt
10,0,5,8,0,10,9,8,0,7,0,8,12,0,26.txt
0,7,0,0,12,11,0,8,12,7,14,30,15,0,28.txt
10,0,5,8,0,9,9,8,0,7,0,8,12,0,30.txt
0,7,0,0,12,11,9,8,0,8,14,30,12,10,32.txt
10,7,5,8,0,9,9,8,12,8,0,8,12,10,34.txt
0,7,0,0,0,11,9,0,0,7,14,30,15,10,36.txt
0,7,0,0,0,11,0,8,0,7,0,30,12,0,40.txt
0,0,5,8,11,10,9,8,0,7,0,30,23,10,41.txt
0,7,0,0,0,11,9,8,10,7,0,30,12,0,49.txt
10,7,5,8,0,10,0,8,0,14,0,21,12,0,53.txt
10,0,5,8,0,9,9,8,0,0,0,8,12,0,55.txt
0,7,0,0,0,11,0,8,0,7,0,20,12,0,57.txt
0,7,0,0,0,11,0,8,0,10,13,30,12,0,60.txt
10,0,5,8,0,9,9,8,0,7,0,8,12,10,61.txt
0,7,0,0,0,11,0,8,10,7,0,29,12,0,63.txt
10,7,5,8,0,10,9,8,0,7,0,18,12,0,65.txt
0,7,0,0,0,11,9,8,0,7,0,15,12,28,68.txt
10,7,5,8,0,10,0,8,0,7,0,29,15,0,71.txt
0,7,0,0,0,11,9,0,16,7,14,30,12,0,72.txt
0,7,0,0,12,11,0,0,0,0,0,30,12,10,76.txt
10,7,5,8,15,9,0,8,0,8,0,8,12,10,78.txt
0,7,0,0,0,11,0,0,0,15,14,30,12,0,81.txt
10,0,5,8,0,9,0,8,0,7,0,8,12,0,84.txt
0,0,0,0,0,11,0,0,0,7,0,30,12,0,86.txt
10,7,5,8,0,9,9,8,0,7,0,8,12,0,89.txt
0,0,0,0,0,11,0,0,0,7,0,30,12,10,90.txt
0,7,0,0,0,11,0,0,0,7,0,30,12,0,92.txt
0,0,0,0,15,11,0,8,0,17,0,21,12,0,95.txt
0,7,0,8,11,11,0,8,0,8,14,30,15,10,97.txt
0,0,0,0,0,11,0,8,0,7,0,30,12,10,98.txt
0,7,0,0,0,11,0,8,0,7,13,30,12,0,100.txt
0,7,0,8,0,11,0,8,0,7,0,30,12,0,102.txt
0,0,0,0,0,11,0,8,0,7,0,30,12,0,105.txt
0,0,0,0,0,11,0,8,0,7,0,30,12,0,108.txt
0,7,0,0,0,11,0,0,0,7,0,30,12,10,110.txt
0,7,0,0,0,11,0,8,0,7,0,30,12,0,112.txt
0,7,0,8,0,11,0,8,12,7,0,30,12,0,114.txt
10,7,5,8,11,10,0,8,0,7,0,8,12,0,116.txt
0,7,0,0,0,11,9,8,0,7,0,30,12,0,118.txt
0,7,0,0,12,11,9,8,10,8,0,30,12,0,121.txt
10,0,5,8,0,9,0,8,0,7,0,8,15,0,123.txt
0,7,0,0,0,11,0,8,12,7,14,30,15,0,124.txt
0,7,0,0,0,11,0,8,10,7,0,30,12,0,126.txt
0,7,0,0,0,11,0,8,0,8,0,30,12,0,128.txt
0,7,0,0,0,11,0,8,10,7,0,30,12,0,130.txt
0,7,0,0,0,11,0,0,0,0,14,30,15,0,132.txt
0,7,5,8,0,10,0,8,0,7,14,21,12,0,135.txt
0,7,0,0,12,11,9,0,0,12,0,30,12,10,137.txt
0,0,0,0,0,11,0,8,0,7,0,30,12,0,141.txt
0,0,0,0,0,11,0,8,0,7,20,30,12,0,144.txt
0,7,0,0,0,11,0,8,0,7,0,20,12,10,145.txt
0,7,0,0,0,11,0,0,10,7,0,30,12,0,147.txt
0,7,0,0,0,11,0,8,10,14,0,30,12,0,149.txt
0,7,5,8,0,10,9,8,0,14,0,29,12,0,151.txt
0,7,0,0,0,11,0,8,0,7,0,30,12,0,154.txt
0,7,0,0,0,11,0,8,0,7,0,30,12,10,156.txt
10,7,5,8,0,10,0,8,0,7,0,8,12,0,158.txt
0,7,0,0,0,11,0,0,0,7,14,30,15,10,160.txt
0,7,0,0,0,11,9,8,0,7,13,30,12,0,161.txt
10,0,5,8,0,9,0,8,0,7,0,8,12,0,163.txt
