0,1,2,3,4,5,6,filename
8,7,0,0,0,0,9,2.txt
0,0,5,7,0,10,9,5.txt
9,7,0,0,0,0,0,9.txt
0,0,5,7,0,0,0,12.txt
8,0,0,0,0,0,0,14.txt
0,0,0,7,0,9,0,16.txt
0,0,5,0,0,0,0,17.txt
0,0,5,0,0,0,0,21.txt
0,0,0,7,0,9,9,23.txt
8,7,5,0,0,0,9,24.txt
8,7,0,0,0,0,0,26.txt
0,0,5,7,0,0,0,28.txt
9,7,0,0,0,0,0,30.txt
0,0,0,0,0,0,9,32.txt
9,7,0,7,0,9,0,34.txt
0,0,5,7,0,0,0,36.txt
0,0,5,0,0,9,0,40.txt
8,7,0,0,0,10,9,41.txt
0,0,0,7,0,0,0,49.txt
8,7,0,7,0,0,0,53.txt
8,7,0,0,0,0,0,55.txt
8,7,0,7,0,0,0,57.txt
0,0,0,0,0,0,0,60.txt
9,7,0,0,0,0,0,61.txt
8,0,5,7,0,9,0,63.txt
8,7,0,0,0,0,0,65.txt
0,7,6,7,0,0,0,68.txt
8,7,5,7,0,0,0,71.txt
0,0,5,7,0,9,9,72.txt
0,0,0,0,0,0,0,76.txt
9,7,0,0,0,0,0,78.txt
0,0,5,7,0,0,9,81.txt
8,7,0,0,0,0,0,84.txt
0,0,0,0,0,0,0,86.txt
9,7,0,0,0,0,9,89.txt
0,0,0,0,0,0,0,90.txt
0,0,0,0,0,0,0,92.txt
0,7,0,0,0,0,0,95.txt
8,0,5,15,0,10,9,97.txt
0,0,0,0,0,0,0,98.txt
0,0,5,0,0,0,0,100.txt
8,0,0,0,0,0,0,102.txt
8,0,0,0,0,0,0,105.txt
0,0,0,0,0,0,0,108.txt
0,0,0,0,0,0,0,110.txt
0,0,0,7,0,0,0,112.txt
8,7,5,0,0,0,0,114.txt
8,7,0,7,0,9,9,116.txt
0,0,5,0,0,0,0,118.txt
0,0,0,7,0,0,0,121.txt
9,7,5,0,0,0,0,123.txt
0,0,5,0,0,0,9,124.txt
0,0,0,7,0,0,0,126.txt
0,0,0,0,0,0,0,128.txt
0,0,5,0,0,0,0,130.txt
0,0,5,0,0,0,0,132.txt
8,7,0,0,0,0,0,135.txt
0,0,0,0,0,0,0,137.txt
0,0,0,0,0,0,0,141.txt
0,0,0,0,0,0,0,144.txt
8,7,5,0,0,0,0,145.txt
0,0,5,7,0,0,0,147.txt
8,0,0,0,0,0,0,149.txt
8,7,0,0,0,0,0,151.txt
0,0,5,0,0,0,0,154.txt
0,0,0,0,0,0,0,156.txt
8,7,0,0,0,0,0,158.txt
0,0,5,0,0,0,0,160.txt
0,0,0,0,0,0,0,161.txt
9,7,0,0,0,0,9,163.txt
0,0,0,0,0,0,0,165.txt
9,7,0,0,0,0,0,167.txt
9,7,0,0,0,0,0,169.txt
0,0,5,0,0,0,0,171.txt
9,7,0,0,0,0,0,173.txt
8,7,5,0,0,0,0,175.txt
0,0,0,0,0,0,0,177.txt
0,0,0,0,0,9,0,179.txt
0,0,0,7,0,9,0,182.txt
0,0,0,0,0,0,0,184.txt
8,7,5,0,0,0,0,188.txt
9,7,0,0,0,0,0,189.txt
0,0,0,7,0,0,9,191.txt
0,7,7,0,0,0,0,194.txt
0,0,0,7,0,9,0,197.txt
0,0,0,7,0,9,9,199.txt
0,0,0,7,0,9,0,203.txt
0,0,5,7,0,9,0,204.txt
9,7,0,0,0,0,9,209.txt
8,0,0,0,0,0,0,210.txt
0,0,0,0,0,0,0,212.txt
9,7,0,0,0,0,9,214.txt
0,0,5,7,0,0,9,217.txt
0,0,0,0,0,0,0,219.txt
0,0,0,0,0,0,0,220.txt
0,0,0,0,0,0,9,222.txt
0,0,0,0,0,0,0,225.txt
0,0,0,7,0,0,0,227.txt
0,0,0,0,0,0,0,229.txt
0,0,0,7,0,0,0,231.txt
0,0,0,0,0,0,0,236.txt
8,7,5,7,0,0,0,241.txt
0,0,0,7,0,0,0,242.txt
8,7,5,0,0,0,0,245.txt
8,7,0,0,0,10,9,247.txt
0,0,0,28,0,10,9,249.txt
0,0,0,7,0,0,9,250.txt
0,0,5,7,0,0,0,252.txt
0,0,0,0,0,0,0,256.txt
0,0,0,0,0,0,0,258.txt
0,0,0,0,0,0,0,260.txt
8,7,0,0,0,0,0,261.txt
0,0,0,0,0,0,0,264.txt
0,0,0,0,0,0,0,269.txt
0,0,0,7,0,0,0,272.txt
0,0,0,0,0,0,0,274.txt
9,7,0,0,0,0,10,276.txt
0,0,0,0,0,0,9,280.txt
0,0,0,7,0,0,0,282.txt
0,0,5,0,0,0,9,283.txt
8,7,0,0,0,9,9,284.txt
8,7,0,0,0,0,9,286.txt
8,7,0,0,0,0,0,288.txt
8,7,0,0,0,0,0,290.txt
0,0,0,7,0,0,9,293.txt
9,7,0,0,0,0,0,295.txt
0,0,7,13,7,11,10,297.txt
8,7,0,7,0,0,9,300.txt
0,0,0,0,0,0,0,303.txt
9,7,0,0,0,0,0,305.txt
0,7,0,0,0,10,9,307.txt
8,7,0,0,0,10,9,311.txt
0,7,0,0,0,0,0,313.txt
0,0,5,7,0,0,0,318.txt
0,0,5,7,0,9,0,320.txt
0,7,0,0,8,9,10,322.txt
0,7,0,0,8,9,10,323.txt
0,0,0,7,0,0,0,324.txt
9,7,0,7,0,9,9,326.txt
9,7,0,16,0,0,9,328.txt
0,0,0,7,0,0,0,329.txt
0,0,0,7,0,0,0,333.txt
0,0,0,0,0,9,0,335.txt
0,0,0,0,0,0,0,337.txt
0,0,0,7,0,10,9,341.txt
9,7,0,0,0,9,9,342.txt
8,0,5,7,0,9,0,344.txt
8,7,0,0,0,0,0,347.txt
8,7,0,0,0,0,0,349.txt
9,7,0,0,0,0,0,352.txt
9,7,0,0,0,0,0,354.txt
0,0,0,0,0,0,0,358.txt
0,0,0,7,0,9,0,360.txt
9,7,5,0,0,0,0,362.txt
8,0,0,7,0,12,0,364.txt
0,0,0,0,0,0,0,365.txt
0,0,5,0,0,0,9,368.txt
8,7,5,0,0,0,0,369.txt
0,0,0,7,0,0,0,371.txt
0,7,7,13,7,0,10,375.txt
9,7,0,0,0,0,0,377.txt
9,7,0,0,0,0,0,380.txt
0,0,5,0,0,0,0,382.txt
0,0,0,0,0,0,9,385.txt
0,7,7,13,7,0,10,386.txt
0,0,5,7,0,9,0,387.txt
8,7,0,0,0,0,0,391.txt
0,0,0,7,0,0,0,394.txt
9,7,0,0,0,10,9,395.txt
0,0,0,0,0,0,0,397.txt
0,0,0,0,0,0,0,400.txt
0,0,0,0,0,9,9,402.txt
8,7,0,7,0,0,0,405.txt
0,0,0,7,0,0,0,407.txt
8,7,0,0,0,0,9,411.txt
9,7,0,7,0,0,0,413.txt
8,7,0,0,0,0,0,416.txt
0,7,5,7,0,0,0,417.txt
0,0,0,7,0,0,0,419.txt
0,0,0,7,0,9,0,421.txt
0,0,0,0,0,0,0,423.txt
9,7,0,0,0,0,0,425.txt
0,0,0,7,0,0,0,427.txt
0,0,0,7,0,0,0,430.txt
8,7,0,0,0,0,0,434.txt
0,0,5,0,0,0,9,436.txt
0,0,0,0,0,0,9,439.txt
0,0,5,7,0,0,9,444.txt
8,7,0,0,0,10,9,447.txt
0,0,0,7,0,10,9,449.txt
0,0,5,0,0,0,0,452.txt
9,7,0,0,0,9,9,454.txt
9,7,0,0,0,0,9,456.txt
8,7,0,7,0,0,0,458.txt
0,0,5,0,0,0,0,460.txt
0,0,5,0,0,0,0,463.txt
8,7,0,7,0,0,9,465.txt
8,0,0,0,0,0,0,469.txt
0,0,0,7,0,9,9,472.txt
8,7,5,0,0,0,0,473.txt
0,0,0,0,0,0,9,475.txt
8,7,0,0,0,0,0,477.txt
8,7,0,0,0,0,0,479.txt
9,7,0,0,0,0,0,481.txt
8,7,0,0,0,0,0,485.txt
0,0,0,0,0,0,0,487.txt
8,0,0,0,0,0,9,488.txt
0,0,0,0,0,0,0,491.txt
0,0,0,7,0,0,0,492.txt
0,0,0,7,0,0,0,494.txt
9,7,0,28,0,10,10,496.txt
0,0,0,7,0,12,0,498.txt
8,7,0,7,0,0,0,500.txt
9,7,0,0,0,9,10,502.txt
9,7,0,0,0,0,0,503.txt
8,7,0,0,0,0,9,505.txt
0,0,0,0,0,0,0,507.txt
8,7,5,0,0,9,9,510.txt
8,7,5,0,0,0,0,513.txt
0,0,0,7,0,9,0,516.txt
9,7,0,0,0,9,9,518.txt
0,0,5,7,0,10,9,521.txt
0,0,5,7,0,0,0,524.txt
9,7,0,0,7,0,0,527.txt
0,0,0,7,0,9,0,529.txt
9,7,0,7,0,0,0,530.txt
8,7,0,0,0,0,0,532.txt
8,7,0,0,0,0,0,534.txt
0,0,0,0,0,0,0,536.txt
0,0,0,0,0,0,0,538.txt
9,7,0,0,0,0,0,541.txt
0,0,0,0,0,0,0,543.txt
0,0,0,0,0,0,0,545.txt
0,0,5,0,0,0,9,549.txt
8,0,0,0,0,0,9,551.txt
8,7,0,0,0,0,0,554.txt
9,7,0,0,0,9,0,557.txt
0,0,0,7,0,0,0,558.txt
8,7,0,7,0,0,0,561.txt
10,7,0,15,7,9,10,564.txt
8,7,0,0,0,10,9,566.txt
8,0,0,0,0,0,9,568.txt
0,0,0,0,0,0,0,572.txt
0,0,0,0,0,0,0,574.txt
8,0,0,0,0,0,0,576.txt
0,0,0,0,0,0,0,578.txt
8,7,0,0,0,0,0,580.txt
0,0,0,0,0,0,0,582.txt
0,0,5,0,0,0,0,584.txt
10,7,0,0,0,0,10,586.txt
0,0,0,7,0,9,9,588.txt
8,7,5,0,0,0,9,591.txt
8,7,0,7,0,0,0,594.txt
0,0,0,0,0,0,0,596.txt
0,0,5,0,0,9,0,598.txt
0,0,0,7,0,0,0,600.txt
0,0,0,0,0,0,0,603.txt
9,7,0,7,0,12,0,604.txt
0,0,0,7,0,9,0,606.txt
0,0,0,0,0,0,0,607.txt
0,0,0,7,0,0,0,613.txt
0,0,0,7,0,0,0,615.txt
0,0,0,7,0,9,0,618.txt
0,0,0,0,0,0,0,621.txt
0,0,0,7,0,0,0,623.txt
0,7,5,7,0,0,9,624.txt
0,0,0,0,0,9,0,627.txt
0,0,0,0,0,0,0,628.txt
0,0,0,7,0,9,0,629.txt
0,0,5,0,0,5,4,631.txt
9,7,5,0,0,10,9,633.txt
0,0,0,0,0,0,0,635.txt
0,0,0,0,0,0,0,637.txt
0,0,5,0,0,0,0,642.txt
0,0,5,7,0,0,0,645.txt
0,0,7,7,0,0,0,647.txt
0,0,0,7,0,9,0,650.txt
8,7,0,0,0,0,0,652.txt
0,0,0,0,0,0,9,654.txt
8,7,0,0,0,0,9,657.txt
0,0,0,0,0,0,0,658.txt
0,0,0,0,0,0,0,662.txt
8,7,0,7,0,0,0,663.txt
0,0,5,0,0,0,0,665.txt
8,0,5,0,0,0,0,669.txt
0,0,0,0,0,0,0,671.txt
8,7,5,0,0,0,0,673.txt
8,7,0,7,0,9,0,675.txt
10,7,0,13,7,0,0,678.txt
8,7,0,0,0,0,0,680.txt
0,0,0,0,0,0,0,683.txt
0,0,5,0,0,9,0,685.txt
0,0,0,0,0,9,0,687.txt
0,0,0,0,0,0,0,689.txt
8,0,5,0,0,0,0,691.txt
0,0,5,7,0,10,9,695.txt
8,7,0,0,0,0,9,696.txt
8,7,0,0,0,0,0,700.txt
9,7,0,0,0,0,0,703.txt
0,0,0,15,0,10,9,705.txt
8,7,0,0,0,0,0,706.txt
0,0,0,15,0,10,9,709.txt
0,0,0,0,0,10,9,711.txt
0,0,5,0,0,0,0,712.txt
9,7,5,0,0,0,0,713.txt
0,0,0,7,0,0,0,716.txt
0,0,0,0,0,9,9,722.txt
8,0,0,7,0,0,0,724.txt
0,0,5,7,0,0,0,727.txt
9,7,0,0,0,0,0,728.txt
0,0,0,7,0,0,0,732.txt
8,7,0,0,0,0,0,734.txt
8,7,0,0,0,0,0,735.txt
0,0,0,0,0,10,9,737.txt
8,7,0,0,0,0,0,738.txt
0,0,0,0,0,0,0,741.txt
0,0,0,15,0,10,9,743.txt
8,7,0,0,0,0,0,747.txt
9,7,0,0,0,0,0,748.txt
0,0,0,7,0,0,0,751.txt
0,0,5,7,0,0,9,755.txt
9,7,0,7,0,0,9,756.txt
8,7,0,7,0,9,0,760.txt
0,0,5,7,0,0,0,765.txt
0,0,0,0,0,0,9,766.txt
0,0,0,0,0,0,0,768.txt
9,7,0,7,0,10,9,771.txt
8,7,0,7,0,9,9,772.txt
0,0,0,0,0,0,0,773.txt
9,7,0,0,0,0,9,775.txt
8,7,0,0,0,0,0,777.txt
8,7,5,0,0,0,9,779.txt
0,0,0,0,0,0,0,781.txt
0,0,0,0,0,0,0,785.txt
0,0,0,7,0,0,0,787.txt
8,7,0,0,0,0,0,790.txt
0,0,0,0,0,0,9,792.txt
9,7,0,0,0,0,0,796.txt
8,0,0,7,0,0,0,800.txt
0,0,0,0,0,0,0,802.txt
9,7,0,0,0,0,10,806.txt
0,0,0,7,0,0,0,807.txt
8,0,0,0,0,0,0,810.txt
0,0,0,0,0,0,0,813.txt
0,0,7,7,0,9,9,816.txt
0,0,5,0,0,0,0,817.txt
0,0,0,7,0,0,9,818.txt
0,0,5,0,0,0,9,821.txt
8,7,0,0,0,0,9,824.txt
0,0,0,0,0,0,0,827.txt
0,0,0,0,0,9,0,831.txt
0,0,0,0,0,9,0,832.txt
0,0,0,0,0,0,0,834.txt
8,0,0,0,0,0,0,836.txt
0,0,0,0,0,0,0,839.txt
0,0,0,0,0,0,0,842.txt
0,0,0,0,0,0,0,847.txt
0,0,0,7,0,9,0,851.txt
9,7,0,0,0,10,10,852.txt
0,0,0,0,0,0,9,855.txt
8,7,0,7,0,9,0,857.txt
0,0,0,7,0,12,0,859.txt
8,7,0,0,0,0,0,861.txt
0,0,0,7,0,9,9,864.txt
9,7,0,0,0,0,9,866.txt
9,7,0,0,0,0,0,868.txt
0,0,0,0,0,0,0,870.txt
8,7,0,7,0,0,0,872.txt
0,0,0,15,0,10,9,874.txt
0,0,0,0,0,0,0,879.txt
0,0,0,0,0,0,0,882.txt
0,0,5,28,0,10,9,884.txt
0,0,0,7,0,0,0,885.txt
0,0,0,0,0,0,0,886.txt
8,7,0,0,0,0,0,889.txt
0,0,0,0,0,0,9,891.txt
8,7,0,0,0,0,0,893.txt
0,0,0,7,0,10,9,896.txt
8,7,0,0,0,0,9,900.txt
8,7,0,0,0,0,0,902.txt
0,0,5,7,0,10,9,905.txt
0,0,0,0,0,0,9,907.txt
0,0,0,0,0,0,0,909.txt
8,0,0,7,0,0,9,911.txt
0,0,0,0,0,0,0,914.txt
0,7,5,7,0,0,0,917.txt
8,7,0,0,0,0,0,922.txt
0,0,5,0,0,0,0,924.txt
0,0,0,0,0,0,0,925.txt
8,7,0,0,0,0,0,926.txt
9,7,0,0,0,0,0,928.txt
8,7,0,0,0,0,0,930.txt
0,0,0,0,0,9,9,932.txt
0,0,7,13,7,12,10,935.txt
9,7,0,0,0,0,0,940.txt
0,0,0,0,0,9,0,942.txt
0,0,5,7,0,9,0,944.txt
8,0,0,0,0,0,0,946.txt
0,0,0,0,0,0,0,949.txt
0,0,0,0,0,0,0,951.txt
8,7,0,0,0,0,9,954.txt
0,0,0,0,0,0,0,956.txt
8,7,0,0,0,0,0,959.txt
8,7,0,0,0,0,9,961.txt
0,0,0,0,0,0,0,962.txt
0,0,0,0,0,10,9,964.txt
0,0,5,7,0,9,9,966.txt
0,0,5,7,0,9,0,968.txt
0,0,0,0,0,0,0,970.txt
0,0,0,0,0,0,0,974.txt
8,0,0,0,0,0,0,975.txt
0,0,5,7,0,12,9,979.txt
8,0,5,0,0,0,0,981.txt
8,7,0,7,0,0,0,987.txt
0,0,5,7,0,9,9,989.txt
10,7,0,0,7,0,0,994.txt
0,0,0,7,0,9,0,996.txt
8,7,0,0,0,0,0,998.txt
0,0,5,0,0,9,0,1002.txt
0,0,0,7,0,12,0,1005.txt
0,0,0,0,0,0,0,1008.txt
8,7,5,0,0,0,0,1010.txt
0,0,5,0,0,0,0,1013.txt
0,0,5,0,0,0,9,1015.txt
0,0,5,7,0,0,0,1018.txt
0,0,7,15,0,10,9,1020.txt
0,0,5,0,0,0,9,1022.txt
0,0,0,7,0,9,0,1025.txt
0,0,0,0,0,0,0,1027.txt
0,0,5,0,0,0,0,1030.txt
0,0,5,0,0,0,0,1036.txt
0,0,0,0,0,0,0,1041.txt
0,0,5,7,0,0,0,1043.txt
0,0,0,7,0,9,0,1045.txt
0,0,0,0,0,0,0,1046.txt
0,0,5,0,0,9,0,1048.txt
0,0,5,7,0,0,0,1051.txt
0,0,0,7,0,0,0,1054.txt
0,0,5,7,0,0,0,1057.txt
0,0,0,0,0,0,9,1059.txt
0,0,0,0,0,9,0,1060.txt
0,0,5,0,0,0,0,1064.txt
0,0,0,0,0,0,0,1069.txt
0,0,5,0,0,0,0,1071.txt
0,0,0,0,0,0,0,1073.txt
0,0,5,0,0,0,0,1075.txt
0,0,0,0,0,0,0,1076.txt
