0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,filename
0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,2,3,1,9,4,3,5,11,3,10,3,2,3,3,4,7,2,2,6,2,3,1,3,1,3,1,4,4,4,6,1,1,0,4,0,5,0,2,2,3,2,3,2.txt
0,0,0,2,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,9,7,8,3,11,6,5,3,2,3,3,4,7,2,2,1,2,3,5,6,1,3,5,1,3,0,0,1,1,0,4,3,0,1,1,2,3,4,1,5.txt
4,4,0,0,2,3,2,0,3,4,0,3,1,2,2,6,2,2,1,1,0,2,2,0,0,0,4,1,2,2,2,2,1,2,2,9,3,2,2,11,3,14,10,2,5,3,2,6,2,4,6,7,3,3,3,4,3,4,4,4,3,4,4,1,5,4,3,4,3,5,3,2,3,0,9.txt
0,0,0,2,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,1,1,1,1,2,3,1,9,2,3,4,11,12,10,3,2,3,3,4,8,2,4,1,2,3,1,6,5,3,5,1,4,0,8,1,1,1,1,3,3,4,2,2,1,1,1,12.txt
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,2,3,1,9,5,2,2,7,3,2,3,2,3,3,4,4,2,4,1,6,3,1,3,1,3,1,4,4,0,5,1,1,0,4,0,5,0,2,2,3,2,3,14.txt
0,0,3,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,1,1,1,1,2,3,1,7,4,2,3,0,7,10,2,2,3,3,1,1,3,3,1,3,2,0,8,6,2,6,2,2,2,3,2,2,2,4,4,0,0,0,1,1,0,2,16.txt
0,0,0,2,0,0,0,0,1,1,0,0,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,2,1,1,1,1,2,3,1,9,4,2,5,7,6,10,3,2,3,3,4,19,2,4,1,2,3,1,7,1,3,1,4,4,0,6,1,1,0,1,3,0,4,2,2,1,1,1,17.txt
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,2,3,1,9,2,2,2,11,3,10,3,2,3,3,4,11,2,4,1,2,3,1,3,1,3,1,4,4,0,5,1,1,0,4,0,0,0,2,2,1,4,2,21.txt
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,2,1,1,1,1,2,3,1,9,8,3,5,11,3,14,3,2,3,3,4,7,2,4,1,2,3,6,3,1,3,1,5,4,0,7,1,1,0,5,3,3,4,2,2,1,4,2,23.txt
0,0,0,2,0,0,0,0,1,1,0,0,1,1,3,1,2,1,1,1,0,0,0,0,0,0,1,2,1,1,1,1,2,3,1,9,9,4,5,11,3,10,3,6,3,3,4,7,5,4,6,2,6,1,3,1,3,1,4,4,4,8,1,1,0,4,3,5,4,2,2,3,1,1,24.txt
0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3,1,9,2,2,2,7,3,2,3,2,3,3,4,4,2,2,6,8,3,1,3,1,3,1,4,4,3,4,1,0,0,7,0,5,3,4,0,0,2,3,26.txt
0,0,0,2,0,0,0,0,1,1,0,0,1,1,1,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,2,3,1,9,6,8,2,7,3,2,3,2,3,3,4,9,2,2,1,2,7,1,7,1,3,1,4,4,0,5,3,0,0,6,3,3,4,2,2,1,1,1,28.txt
0,0,0,0,0,0,3,0,1,1,0,0,1,1,3,1,2,2,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1,3,1,9,2,2,5,11,3,10,3,2,4,3,4,8,2,4,6,7,3,1,9,7,6,1,4,4,4,5,1,4,4,1,0,5,3,5,3,0,3,0,30.txt
