0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,filename
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,21,16,16,15,14,14,14,11,16,19,24,0,3,17,0,0,0,0,2,1,1,1,13,4,4,10,10,19,14,9,3,3,3,3,0,5,5,5,2,5,5,5,8,14,4,27,6,4,2.txt
9,14,7,2,2,2,2,9,2,3,26,2,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,13,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,5.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,12,20,16,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,6,0,0,0,4,4,10,10,19,14,9,3,3,3,3,0,3,3,3,0,14,15,14,25,18,4,27,4,4,9.txt
0,0,24,0,7,0,15,18,0,25,18,21,18,25,18,18,18,17,0,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,15,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,17,16,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,0,4,4,21,26,26,14,9,3,3,3,3,0,3,3,3,0,14,15,14,25,14,4,27,6,4,14.txt
0,0,25,0,0,0,12,23,0,25,18,3,18,25,18,18,18,17,0,16,15,14,14,14,11,16,19,24,0,3,17,0,0,0,0,0,13,1,5,0,30,20,10,10,19,12,11,3,3,3,1,23,2,2,2,15,2,2,2,2,3,3,3,2,3,16.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,17,27,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,17.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,12,17,16,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,0,4,4,10,10,19,14,9,3,3,3,3,0,3,3,3,0,14,15,14,25,14,4,27,6,4,21.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,17,0,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23.txt
0,0,24,0,7,0,0,18,0,25,18,7,18,25,18,18,18,17,0,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,0,4,4,10,10,19,14,9,3,3,3,6,0,6,6,6,8,21,28,28,21,21,16,29,0,6,24.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,12,20,16,3,15,14,14,14,11,14,19,5,17,8,17,29,7,7,0,2,6,0,0,13,4,4,6,6,6,17,6,22,6,6,3,0,3,3,3,0,14,15,14,25,14,4,27,4,4,26.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,17,0,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,0,4,4,10,10,19,14,9,3,3,3,1,0,3,3,3,0,14,22,14,25,14,4,27,1,4,28.txt
0,0,24,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,17,18,14,0,5,17,3,0,29,7,7,0,2,6,0,0,0,0,0,10,10,19,14,9,3,3,3,3,0,3,3,3,0,14,15,14,25,14,4,27,6,4,30.txt
22,15,23,29,26,16,2,4,6,9,7,13,29,20,27,9,15,11,10,9,11,8,9,11,15,25,18,15,8,30,24,26,18,20,13,6,16,21,21,16,21,28,16,16,21,23,27,21,27,24,28,17,5,5,5,2,5,5,5,8,17,14,8,10,8,32.txt
0,0,24,0,7,0,0,18,0,25,18,7,18,25,18,18,22,24,27,16,15,14,14,14,11,14,19,7,17,3,17,29,7,7,0,2,9,0,0,22,30,20,10,10,19,14,9,3,3,3,5,10,5,5,5,25,0,18,19,22,17,14,8,18,8,34.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,21,27,16,15,14,14,14,11,16,19,24,19,3,17,10,9,9,0,2,11,12,0,0,4,4,10,10,19,14,11,3,3,3,5,0,6,6,6,7,12,12,6,9,21,16,29,7,6,36.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,17,0,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40.txt
0,0,24,0,7,0,0,18,0,25,18,0,18,25,18,18,22,21,27,16,15,14,14,14,11,14,19,8,17,3,0,29,7,7,0,2,0,0,0,0,4,4,10,10,19,14,9,3,3,3,14,0,6,6,6,2,0,0,0,8,21,16,8,5,6,41.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,17,0,3,15,14,14,14,11,14,19,24,17,8,17,29,7,7,0,2,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,12,20,16,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,0,0,0,0,4,4,10,10,19,14,9,3,3,3,3,0,3,3,3,8,14,15,14,25,11,26,8,25,23,53.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,21,27,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,13,4,4,10,10,19,14,9,3,3,3,14,0,5,5,5,8,19,10,11,14,21,16,8,6,6,55.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,12,17,16,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,0,4,4,10,10,19,14,9,3,3,3,3,0,3,3,3,0,14,15,14,25,14,4,27,1,4,57.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,17,0,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60.txt
0,0,3,5,0,0,0,18,0,25,18,21,18,25,18,18,12,20,16,16,1,1,1,1,1,1,1,5,1,1,6,5,5,5,7,1,6,7,9,0,10,8,12,13,10,2,2,2,2,2,0,0,3,3,3,2,14,15,14,25,21,16,8,4,6,61.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,17,0,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,13,1,1,1,28,19,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63.txt
0,0,3,16,7,0,0,18,0,25,18,21,18,25,18,18,12,20,16,16,1,1,1,1,1,10,18,5,14,11,1,1,1,1,1,1,6,2,16,0,10,8,16,16,10,15,26,7,17,8,3,0,3,3,3,0,14,15,14,25,14,4,27,4,4,65.txt
9,2,1,2,2,2,13,9,9,10,26,1,26,1,1,3,3,3,9,21,4,6,6,4,15,10,18,10,23,6,11,14,20,15,30,1,1,1,1,7,10,8,16,16,10,15,26,2,17,2,3,0,3,3,3,0,14,15,14,25,14,4,27,6,4,68.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,12,20,16,16,15,14,14,14,11,14,19,5,17,3,17,30,7,7,0,2,6,12,0,13,4,4,10,10,19,3,3,3,3,3,3,0,3,3,3,0,14,15,14,25,14,4,27,6,4,71.txt
0,0,24,0,7,10,24,12,4,6,13,19,16,17,23,6,5,4,5,16,15,14,14,14,11,14,19,24,17,3,5,29,7,7,0,2,1,1,5,1,4,4,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,29,1,72.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,17,0,16,15,14,14,14,11,14,19,24,17,15,17,29,7,7,0,2,1,1,5,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,76.txt
0,0,25,0,0,0,0,18,0,25,18,21,18,25,18,18,12,20,16,16,15,14,14,14,11,14,19,5,17,3,17,8,7,7,0,0,6,0,0,4,30,18,10,10,19,14,9,3,3,3,14,14,3,3,3,2,3,15,3,3,17,14,10,4,8,78.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,23,17,27,16,15,14,14,14,11,16,19,24,18,3,17,9,8,30,0,2,11,12,0,0,4,4,10,10,19,14,9,3,3,3,3,0,3,3,3,0,14,15,14,25,14,4,27,6,4,81.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,0,0,18,18,20,16,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,6,0,0,0,4,4,21,26,26,14,9,3,3,3,3,0,3,3,3,0,14,15,14,25,14,4,27,6,4,84.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,17,0,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86.txt
0,0,24,0,7,0,0,18,0,25,18,21,18,25,18,18,18,20,16,16,15,14,14,14,11,14,19,24,17,3,17,29,7,7,0,2,1,1,1,13,4,4,10,10,19,14,9,3,3,3,3,0,6,6,6,0,0,0,0,0,14,4,27,6,4,89.txt
