0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,filename
0,30,26,20,21,21,18,18,18,18,18,19,19,24,24,23,22,22,22,23,24,25,24,24,24,23,26,24,24,26,24,23,23,24,23,23,23,2.txt
29,19,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,5.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,24,24,23,22,22,22,23,24,25,24,24,24,23,26,24,24,26,24,23,23,24,23,23,23,9.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,12.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,14.txt
29,30,29,21,22,23,21,21,21,21,29,23,23,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,16.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,17.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,21.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,23.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,24.txt
29,30,29,21,22,23,21,21,21,21,15,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,26.txt
29,30,29,21,22,23,21,21,21,21,29,23,23,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,28.txt
0,12,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,12,1,1,1,1,1,1,15,1,1,15,1,1,1,1,1,1,1,30.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,32.txt
0,30,29,21,22,23,21,21,21,21,18,23,23,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,34.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,36.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,40.txt
0,30,26,20,21,21,18,18,18,18,18,19,19,24,24,23,22,22,22,23,24,25,24,24,24,23,26,24,24,26,24,23,23,24,23,23,23,41.txt
29,30,29,21,22,23,21,21,21,21,29,23,23,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,49.txt
22,12,19,13,28,29,27,27,27,27,17,20,20,27,26,22,24,24,24,25,26,27,26,26,26,28,28,26,26,28,26,25,25,26,25,25,25,53.txt
0,12,0,1,1,0,1,1,1,1,0,0,0,16,17,15,15,15,15,15,17,18,17,17,17,16,18,17,17,18,17,16,16,17,16,15,15,55.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,57.txt
22,12,19,13,28,29,27,27,27,27,17,20,20,23,26,22,24,24,24,25,26,27,26,26,26,28,28,26,26,28,26,25,25,26,25,25,25,60.txt
22,12,19,13,28,29,27,27,27,27,17,20,20,23,26,22,24,24,24,25,26,27,26,26,26,28,28,26,26,28,26,25,25,26,25,25,25,61.txt
29,17,7,29,30,30,28,25,25,25,22,23,23,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,63.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,65.txt
20,17,7,29,30,30,28,25,25,25,22,22,22,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,68.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,71.txt
29,19,29,21,22,23,21,21,21,21,29,23,23,29,30,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,72.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,76.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,78.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,24,24,23,22,22,22,23,24,25,24,24,24,23,26,24,24,26,24,23,23,24,23,23,23,81.txt
22,30,19,13,28,29,27,27,27,27,17,20,20,28,28,26,26,26,26,26,28,29,28,28,28,27,29,28,28,29,28,27,27,28,27,27,27,84.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,86.txt
0,30,26,20,21,21,18,18,18,18,18,19,19,24,24,23,22,22,22,23,24,25,24,24,24,23,26,24,24,26,24,23,23,24,23,23,23,89.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,90.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,92.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,22,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,95.txt
29,30,10,21,22,4,21,21,21,21,29,19,19,29,23,2,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,97.txt
0,12,0,1,1,0,1,1,1,1,0,0,0,13,14,12,12,12,12,12,14,15,15,15,15,14,15,15,15,15,19,14,14,14,13,13,13,98.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,100.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,102.txt
22,30,19,13,28,29,27,27,27,27,17,20,20,22,26,22,24,24,24,25,26,27,26,26,26,28,28,26,26,28,26,25,25,26,25,25,25,105.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,22,23,24,23,23,23,22,25,23,23,25,23,22,22,23,22,22,22,108.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,110.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,112.txt
29,30,29,21,22,23,21,21,21,21,29,23,23,24,24,23,22,22,22,23,24,25,24,24,24,23,26,24,24,26,24,23,23,24,23,23,23,114.txt
0,30,26,20,21,21,18,18,18,18,18,19,19,24,24,23,22,22,22,23,24,25,24,24,24,23,26,24,24,26,24,23,23,24,23,23,23,116.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,118.txt
0,19,26,20,21,21,18,18,18,18,18,23,23,16,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,121.txt
29,30,29,21,22,23,21,21,21,21,29,19,19,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,123.txt
29,30,29,21,22,23,21,21,21,21,29,23,23,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,124.txt
29,30,29,21,22,23,21,21,21,21,29,23,23,29,23,21,21,21,21,21,23,24,23,23,23,22,24,23,23,24,23,22,22,23,22,22,22,126.txt
