0,1,2,3,4,5,6,7,8,9,10,11,filename
27,25,7,5,5,5,1,10,6,0,3,18,2.txt
14,25,7,7,12,5,8,10,6,0,29,10,5.txt
27,11,22,5,7,5,1,8,0,6,3,3,9.txt
30,23,7,20,5,5,1,10,6,0,3,11,12.txt
27,25,7,5,5,5,1,10,6,0,3,12,14.txt
12,21,16,18,5,5,1,10,6,0,3,14,16.txt
27,22,7,5,5,5,1,10,6,0,3,10,17.txt
30,25,16,5,5,5,1,10,6,0,3,10,21.txt
25,23,7,5,5,5,1,10,6,0,3,10,23.txt
27,30,7,5,5,11,1,10,6,0,3,12,24.txt
27,28,7,5,5,3,0,10,6,0,3,12,26.txt
27,25,16,5,5,5,1,10,6,0,3,10,28.txt
27,29,7,5,7,3,0,10,17,0,3,12,30.txt
30,25,7,20,5,11,1,10,6,0,3,11,32.txt
27,28,10,18,5,5,1,10,6,0,3,12,34.txt
30,23,7,17,5,5,1,10,6,0,3,10,36.txt
27,25,7,5,5,5,1,10,6,0,3,10,40.txt
27,25,7,30,5,5,1,0,6,0,3,18,41.txt
30,23,16,5,5,5,1,10,6,0,3,10,49.txt
27,28,7,5,5,5,1,10,6,0,3,12,53.txt
27,28,7,5,5,5,1,0,6,0,3,12,55.txt
27,28,7,5,5,5,1,10,6,0,3,12,57.txt
30,25,7,5,5,5,1,10,6,0,3,10,60.txt
27,28,5,5,7,5,1,10,6,0,3,12,61.txt
27,25,10,18,5,5,1,10,6,0,3,12,63.txt
27,28,7,5,7,5,1,10,6,0,3,12,65.txt
27,28,7,5,7,5,1,0,6,0,14,12,68.txt
27,28,7,5,5,5,1,10,6,0,3,12,71.txt
12,21,16,5,5,5,1,10,6,0,3,14,72.txt
30,27,7,5,5,5,1,0,6,0,3,11,76.txt
22,28,7,18,8,5,1,10,6,0,3,12,78.txt
30,23,7,7,5,5,8,10,6,0,3,10,81.txt
27,28,7,5,5,5,1,10,6,0,3,12,84.txt
30,23,7,5,5,11,1,10,6,0,3,10,86.txt
27,26,5,5,7,5,1,10,16,0,3,3,89.txt
30,23,7,5,5,5,1,10,6,0,3,10,90.txt
30,23,7,5,5,5,1,10,6,0,3,10,92.txt
19,30,7,18,5,5,1,10,6,0,3,19,95.txt
27,25,7,7,10,15,8,10,6,0,3,18,97.txt
30,23,7,5,5,5,1,10,6,0,3,10,98.txt
30,23,7,5,5,5,1,10,6,0,3,10,100.txt
27,25,7,5,5,5,1,10,6,0,3,10,102.txt
27,25,21,5,5,5,1,10,6,0,3,10,105.txt
27,25,7,5,5,5,1,10,6,0,3,10,108.txt
30,23,7,5,5,11,1,10,6,0,3,11,110.txt
27,25,7,5,5,5,1,10,6,0,3,10,112.txt
27,25,10,7,5,5,8,10,6,0,3,18,114.txt
27,28,7,7,13,5,11,10,6,0,3,12,116.txt
27,25,16,5,5,5,1,10,6,0,3,10,118.txt
30,25,16,5,5,11,1,10,6,0,3,11,121.txt
27,29,7,5,7,5,1,10,17,0,3,12,123.txt
27,25,16,16,5,11,8,10,6,0,3,10,124.txt
27,25,16,5,5,5,1,10,6,0,3,10,126.txt
30,23,7,5,5,5,1,10,6,0,3,10,128.txt
30,25,16,5,5,11,1,10,6,0,3,10,130.txt
30,23,7,5,5,11,8,0,6,0,3,10,132.txt
27,28,7,5,5,5,1,10,6,0,3,12,135.txt
30,27,7,18,5,5,1,10,6,0,3,11,137.txt
27,25,7,5,5,5,1,10,6,0,3,10,141.txt
27,25,21,5,5,5,1,10,6,0,3,10,144.txt
27,28,7,5,5,5,1,10,6,0,3,12,145.txt
30,23,16,5,5,5,1,10,6,0,3,10,147.txt
27,25,10,5,5,5,8,10,6,0,3,10,149.txt
27,20,7,5,5,5,1,10,6,0,3,12,151.txt
27,25,7,5,5,11,1,10,6,0,3,10,154.txt
30,22,7,5,5,5,1,10,6,0,3,10,156.txt
27,28,10,5,5,5,1,10,6,0,3,12,158.txt
30,27,7,18,5,5,1,10,6,0,3,11,160.txt
27,25,7,5,5,5,1,10,6,0,3,10,161.txt
27,29,5,5,7,5,1,10,16,0,3,15,163.txt
27,12,4,4,4,3,0,10,6,0,3,4,165.txt
27,28,7,5,7,5,1,10,6,0,3,12,167.txt
25,12,4,4,4,5,1,10,6,0,3,4,169.txt
30,22,16,5,5,5,1,10,6,0,3,10,171.txt
27,28,7,5,8,3,0,0,6,0,3,12,173.txt
27,28,7,5,5,11,1,10,6,0,3,12,175.txt
27,25,16,5,5,5,1,10,6,0,3,10,177.txt
27,25,7,5,5,5,1,10,6,0,3,10,179.txt
30,15,4,4,30,5,1,10,6,0,20,4,182.txt
27,25,7,5,5,5,1,10,6,0,3,10,184.txt
25,25,7,5,5,5,1,10,6,0,3,10,188.txt
27,16,7,5,8,5,1,10,17,0,3,12,189.txt
27,25,7,16,5,5,8,10,6,0,3,10,191.txt
27,24,7,5,19,5,1,10,9,12,14,16,194.txt
30,23,16,18,5,5,1,10,6,0,3,11,197.txt
27,25,7,5,5,5,8,10,6,0,3,10,199.txt
22,23,7,18,5,5,1,10,6,0,3,10,203.txt
30,27,16,5,5,5,1,10,6,0,3,11,204.txt
22,16,8,5,8,5,1,10,6,0,3,12,209.txt
27,25,7,5,5,3,0,10,6,0,3,10,210.txt
27,25,7,5,5,5,1,10,6,0,3,10,212.txt
27,29,8,5,7,5,11,10,17,0,3,12,214.txt
30,22,16,5,5,11,10,14,6,0,3,14,217.txt
30,27,7,17,5,11,1,10,6,0,3,11,219.txt
30,23,7,18,5,5,1,10,6,0,3,10,220.txt
30,23,7,7,5,5,8,10,6,0,3,10,222.txt
30,23,7,18,5,5,1,0,6,0,3,11,225.txt
27,25,7,5,5,5,1,10,6,0,3,10,227.txt
27,22,7,5,5,5,1,10,6,0,3,10,229.txt
30,27,16,18,5,5,1,10,6,0,3,11,231.txt
27,25,7,5,5,5,1,10,6,0,3,19,236.txt
