0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,filename
0,0,0,0,0,0,0,0,22,21,13,4,3,3,18,0,0,0,0,0,0,0,0,0,0,10,12,1,9,9,21,0,0,0,0,0,1,1,1,1,1,24,1,1,1,19,1,1,1,1,9,0,0,5,0,7,7,2.txt
18,18,11,15,2,0,0,0,7,3,2,2,2,2,2,9,9,4,3,10,8,22,1,5,1,11,3,1,3,3,3,11,15,3,3,30,1,1,1,1,1,1,1,1,1,5,1,1,5,5,5,8,3,8,0,5,5,5.txt
0,0,0,0,0,0,0,0,22,21,13,4,3,3,18,0,0,0,0,0,0,0,0,0,0,10,12,0,9,9,0,0,0,0,0,0,2,5,4,2,2,1,2,26,7,19,13,11,6,4,9,0,0,5,0,4,4,9.txt
0,0,0,0,0,0,0,0,22,21,13,4,3,3,18,0,0,0,0,0,0,0,0,0,0,10,12,1,9,9,21,0,0,0,0,0,1,1,1,1,1,1,1,1,1,19,1,1,5,5,9,1,1,1,1,5,5,12.txt
0,0,0,0,0,0,0,0,22,21,13,4,3,3,18,0,0,0,0,0,0,0,0,0,0,10,12,1,9,9,21,0,0,0,0,0,1,1,1,1,1,1,1,1,1,19,1,1,5,5,11,0,0,5,0,5,5,14.txt
0,0,9,0,0,0,0,0,22,21,0,18,0,0,0,5,29,12,13,0,0,13,9,9,10,10,12,1,9,9,19,0,0,0,0,0,1,1,1,1,1,4,1,1,1,18,1,1,1,1,9,0,0,7,18,1,1,16.txt
0,0,0,0,0,0,0,0,22,21,13,4,3,3,18,0,0,0,0,0,0,0,0,0,0,10,12,1,9,9,21,0,0,0,0,0,1,1,1,1,1,5,1,1,1,19,1,1,5,5,9,17,13,19,27,5,5,17.txt
0,0,0,0,0,0,0,0,22,21,13,4,3,3,18,0,0,0,0,0,0,0,0,0,0,10,12,1,9,9,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,19,1,1,5,5,9,8,11,8,0,5,5,21.txt
0,0,0,0,0,0,0,0,22,21,13,4,3,3,18,0,0,0,0,0,0,0,0,0,0,10,12,1,9,9,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,19,1,1,5,5,9,1,1,1,1,5,5,23.txt
0,0,0,0,0,4,3,21,22,21,13,4,3,3,18,0,0,0,0,0,0,0,0,0,0,10,12,1,9,9,21,0,0,0,0,0,1,1,1,1,1,1,1,1,1,19,1,1,5,5,9,8,11,8,0,5,5,24.txt
