0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,filename
0,0,0,0,0,0,13,0,0,16,0,11,17,16,19,17,13,8,0,8,8,8,8,23,25,18,0,0,0,24,11,30,16,30,6,4,4,6,0,0,8,15,20,13,9,3,5,3,2,2,2.txt
5,29,1,22,22,13,3,3,28,6,20,19,7,23,4,12,20,20,26,10,10,10,13,9,12,21,25,20,13,13,7,5,4,11,18,15,30,4,9,17,16,26,14,20,6,29,18,10,17,23,5.txt
0,0,0,0,0,0,13,0,0,16,0,11,17,16,19,17,13,25,0,29,8,8,8,23,25,18,0,0,3,24,22,26,30,0,6,4,4,6,0,0,23,23,20,0,0,27,12,5,5,11,9.txt
0,0,0,0,0,0,13,0,0,16,25,11,17,16,19,17,13,8,9,8,8,8,8,23,25,29,30,5,30,5,9,4,16,30,6,4,4,18,8,9,5,17,20,4,4,19,5,3,2,2,12.txt
0,0,0,0,0,0,13,0,0,16,0,11,17,16,19,17,13,8,0,8,8,8,8,23,25,18,0,0,0,24,22,26,30,0,6,4,4,18,8,9,23,22,20,24,30,3,12,11,5,5,14.txt
0,0,0,0,0,0,13,0,0,0,0,11,0,0,19,0,0,8,0,8,8,8,8,21,23,18,0,0,0,24,8,4,7,13,6,4,4,6,0,0,24,15,20,13,12,21,10,6,0,0,16.txt
0,0,0,0,0,0,13,0,0,16,0,11,17,16,19,17,13,8,0,8,8,8,8,23,25,18,0,0,0,24,9,4,16,30,6,4,4,6,0,0,5,15,20,4,4,19,5,3,2,2,17.txt
0,0,0,0,0,0,13,0,0,16,0,11,17,16,19,17,13,8,0,8,8,8,8,23,25,18,0,0,0,24,9,26,7,13,6,4,4,6,0,0,5,15,20,13,9,3,5,3,2,2,21.txt
0,0,0,0,0,0,13,0,0,16,0,11,17,16,19,17,13,8,0,8,8,8,8,23,25,18,0,0,0,24,9,26,16,30,6,4,4,6,24,23,5,15,20,13,12,3,5,3,2,2,23.txt
0,0,0,0,0,0,13,0,0,16,0,11,17,16,19,17,13,8,0,8,8,8,8,23,25,18,0,0,0,24,9,26,6,30,6,4,4,17,15,14,14,15,20,13,12,3,13,17,10,18,24.txt
